Peers, ppm, machines, setup_wall_min, setup_wall_max, setup_wall_avg, setup_wall_dev, setup_user_min, setup_user_max, setup_user_avg, setup_user_dev, setup_system_min, setup_system_max, setup_system_avg, setup_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev, calc_wall_min, calc_wall_max, calc_wall_avg, calc_wall_dev, calc_user_min, calc_user_max, calc_user_avg, calc_user_dev, calc_system_min, calc_system_max, calc_system_avg, calc_system_dev, verify_wall_min, verify_wall_max, verify_wall_avg, verify_wall_dev, verify_user_min, verify_user_max, verify_user_avg, verify_user_dev, verify_system_min, verify_system_max, verify_system_avg, verify_system_dev, aggregate_wall_min, aggregate_wall_max, aggregate_wall_avg, aggregate_wall_dev, aggregate_user_min, aggregate_user_max, aggregate_user_avg, aggregate_user_dev, aggregate_system_min, aggregate_system_max, aggregate_system_avg, aggregate_system_dev
2, 1, 2, 2.194988, 2.194988, 2.194988, NaN, 0.000329, 0.000329, 0.000329, NaN, 0.000043, 0.000043, 0.000043, NaN, 0.124562, 0.124562, 0.124562, NaN, 0.022405, 0.022405, 0.022405, NaN, 0.000073, 0.003861, 0.001330, 0.001580, 0.108127, 0.110735, 0.109211, 0.000735, 0.000000, 0.001947, 0.001178, 0.000510, 0.000000, 0.002455, 0.000319, 0.000752, 0.010520, 0.015558, 0.013139, 0.001648, 0.006968, 0.022551, 0.016717, 0.004881, 0.000000, 0.003768, 0.001257, 0.001688, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 1, 4, 2.279563, 2.279563, 2.279563, NaN, 0.000699, 0.000699, 0.000699, NaN, 0.000156, 0.000156, 0.000156, NaN, 0.150350, 0.150350, 0.150350, NaN, 0.040676, 0.054608, 0.045842, 0.004185, 0.009314, 0.009314, 0.009314, NaN, 0.107301, 0.110842, 0.109272, 0.000937, 0.000578, 0.004000, 0.002737, 0.001055, 0.000000, 0.003804, 0.000816, 0.001295, 0.030799, 0.039417, 0.033118, 0.003117, 0.038552, 0.052307, 0.043280, 0.003894, 0.000000, 0.007536, 0.003136, 0.002609, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 1, 8, 2.256518, 2.256518, 2.256518, NaN, 0.001333, 0.001333, 0.001333, NaN, 0.000235, 0.000235, 0.000235, NaN, 0.179366, 0.190409, 0.184887, 0.007808, 0.094856, 0.121221, 0.108038, 0.018643, 0.000986, 0.015605, 0.006757, 0.005034, 0.109040, 0.112707, 0.109989, 0.001117, 0.006061, 0.012009, 0.008140, 0.002006, 0.000000, 0.003598, 0.000770, 0.001028, 0.065827, 0.079722, 0.073423, 0.004317, 0.086222, 0.111859, 0.097248, 0.009311, 0.000265, 0.015156, 0.006697, 0.005640, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
16, 2, 8, 2.248318, 2.248318, 2.248318, NaN, 0.001873, 0.001873, 0.001873, NaN, 0.000394, 0.000394, 0.000394, NaN, 0.259697, 0.274703, 0.266591, 0.005343, 0.219474, 0.243891, 0.230058, 0.009983, 0.010631, 0.021355, 0.014787, 0.003524, 0.109948, 0.115174, 0.112413, 0.001515, 0.012825, 0.034596, 0.019327, 0.006694, 0.000000, 0.006112, 0.001777, 0.002196, 0.147491, 0.162497, 0.154327, 0.005597, 0.193716, 0.237240, 0.212269, 0.012809, 0.002068, 0.020629, 0.012239, 0.006244, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
32, 4, 8, 2.272861, 2.272861, 2.272861, NaN, 0.004517, 0.004517, 0.004517, NaN, 0.000677, 0.000677, 0.000677, NaN, 0.439349, 0.468674, 0.456457, 0.010586, 0.492389, 0.566081, 0.534826, 0.026500, 0.015196, 0.050926, 0.032807, 0.011315, 0.114775, 0.119707, 0.116832, 0.001817, 0.039723, 0.054955, 0.045963, 0.004239, 0.000000, 0.011585, 0.003398, 0.003905, 0.320237, 0.351723, 0.340864, 0.010471, 0.444009, 0.526245, 0.494805, 0.025138, 0.012752, 0.054718, 0.031600, 0.012644, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
64, 8, 8, 2.248326, 2.248326, 2.248326, NaN, 0.004666, 0.004666, 0.004666, NaN, 0.004527, 0.004527, 0.004527, NaN, 0.838182, 0.895837, 0.866014, 0.019242, 1.254408, 1.379626, 1.316295, 0.041971, 0.044411, 0.100473, 0.076155, 0.018552, 0.119789, 0.131204, 0.123934, 0.003943, 0.077211, 0.111732, 0.089689, 0.010074, 0.000000, 0.012641, 0.004449, 0.004144, 0.714157, 0.780952, 0.745442, 0.020490, 1.176912, 1.291614, 1.231336, 0.040802, 0.043699, 0.096745, 0.076440, 0.016966, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
128, 16, 8, 2.183599, 2.183599, 2.183599, NaN, 0.024430, 0.024430, 0.024430, NaN, 0.004574, 0.004574, 0.004574, NaN, 1.804475, 1.914930, 1.860490, 0.039482, 3.590963, 3.782581, 3.678462, 0.099296, 0.130304, 0.261495, 0.211563, 0.047785, 0.133879, 0.154092, 0.141130, 0.006988, 0.171748, 0.209150, 0.191475, 0.010418, 0.000000, 0.012117, 0.005803, 0.004239, 1.670450, 1.770843, 1.718923, 0.030040, 3.402260, 3.601089, 3.492516, 0.071941, 0.122434, 0.257003, 0.210686, 0.041241, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
256, 32, 8, 2.189241, 2.189241, 2.189241, NaN, 0.024312, 0.024312, 0.024312, NaN, 0.020565, 0.020565, 0.020565, NaN, 3.319660, 3.400774, 3.368162, 0.042828, 6.844872, 7.012904, 6.907673, 0.049460, 0.260255, 0.369810, 0.321103, 0.031537, 0.159764, 0.209658, 0.173172, 0.014663, 0.363248, 0.479582, 0.409689, 0.034453, 0.000864, 0.030227, 0.015900, 0.009958, 3.138014, 3.217058, 3.183157, 0.022955, 6.427272, 6.635039, 6.501709, 0.058114, 0.230018, 0.388673, 0.314352, 0.044304, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
512, 64, 8, 2.226231, 2.226231, 2.226231, NaN, 0.046188, 0.046188, 0.046188, NaN, 0.031627, 0.031627, 0.031627, NaN, 6.112693, 6.286095, 6.188124, 0.061980, 13.139992, 13.311633, 13.245515, 0.056411, 0.427537, 0.524991, 0.483517, 0.031404, 0.200123, 0.393099, 0.259470, 0.061864, 0.696535, 1.028779, 0.801947, 0.090134, 0.011115, 0.048107, 0.028263, 0.012799, 5.856148, 5.987174, 5.941744, 0.044225, 12.238993, 12.525541, 12.450820, 0.084002, 0.410634, 0.504669, 0.458611, 0.032673, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1024, 128, 8, 2.190083, 2.190083, 2.190083, NaN, 0.090724, 0.090724, 0.090724, NaN, 0.043008, 0.043008, 0.043008, NaN, 12.056172, 12.461264, 12.242093, 0.124646, 26.725086, 27.336939, 27.083643, 0.208729, 0.966172, 1.114395, 1.034979, 0.056874, 0.369165, 0.689348, 0.525632, 0.111762, 1.546765, 2.129830, 1.760124, 0.201841, 0.031084, 0.165994, 0.082547, 0.049225, 11.516258, 11.848476, 11.734236, 0.089178, 24.595039, 25.607568, 25.359498, 0.292968, 0.809522, 1.083283, 0.962904, 0.073313, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2048, 256, 8, 3.311988, 3.311988, 3.311988, NaN, 0.158673, 0.158673, 0.158673, NaN, 0.098723, 0.098723, 0.098723, NaN, 23.669961, 24.117043, 23.902920, 0.167724, 55.220158, 55.981865, 55.630625, 0.239247, 1.999267, 2.190507, 2.103052, 0.065374, 0.751449, 1.149354, 0.987968, 0.108566, 3.281347, 4.725612, 3.807045, 0.384592, 0.136541, 0.395073, 0.234768, 0.076928, 22.563156, 23.091969, 22.936838, 0.163133, 50.962175, 52.278799, 51.852555, 0.422865, 1.721925, 2.177526, 1.895521, 0.135556, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
