Peers, ppm, machines, bf, setup_wall_min, setup_wall_max, setup_wall_avg, setup_wall_dev, setup_user_min, setup_user_max, setup_user_avg, setup_user_dev, setup_system_min, setup_system_max, setup_system_avg, setup_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev, calc_wall_min, calc_wall_max, calc_wall_avg, calc_wall_dev, calc_user_min, calc_user_max, calc_user_avg, calc_user_dev, calc_system_min, calc_system_max, calc_system_avg, calc_system_dev, verify_wall_min, verify_wall_max, verify_wall_avg, verify_wall_dev, verify_user_min, verify_user_max, verify_user_avg, verify_user_dev, verify_system_min, verify_system_max, verify_system_avg, verify_system_dev
2, 1, 2, 2, 0.100449, 0.100449, 0.100449, NaN, 0.000317, 0.000317, 0.000317, NaN, 0.000013, 0.000013, 0.000013, NaN, 0.120324, 0.130494, 0.124703, 0.003074, 0.012450, 0.026531, 0.019862, 0.003272, 0.000000, 0.004819, 0.001877, 0.002040, 0.108487, 0.113403, 0.110655, 0.001471, 0.000000, 0.005072, 0.001988, 0.001055, 0.000000, 0.004251, 0.000301, 0.000964, 0.010372, 0.018900, 0.013875, 0.002330, 0.010535, 0.024823, 0.017741, 0.003594, 0.000000, 0.004759, 0.001567, 0.002015
4, 1, 4, 3, 2.402086, 2.402086, 2.402086, NaN, 0.001723, 0.001723, 0.001723, NaN, 0.000299, 0.000299, 0.000299, NaN, 0.126312, 0.135937, 0.130433, 0.002771, 0.056680, 0.084308, 0.068500, 0.007670, 0.000000, 0.014448, 0.004768, 0.004224, 0.111084, 0.113896, 0.112062, 0.000715, 0.001040, 0.008464, 0.005115, 0.001888, 0.000000, 0.005046, 0.001173, 0.001725, 0.013270, 0.024231, 0.018120, 0.002758, 0.049251, 0.078458, 0.062879, 0.008579, 0.000000, 0.011986, 0.003564, 0.003640
8, 1, 8, 4, 1.401838, 1.401838, 1.401838, NaN, 0.000000, 0.000000, 0.000000, NaN, 0.003664, 0.003664, 0.003664, NaN, 0.259127, 0.774013, 0.337518, 0.134740, 0.107807, 0.190077, 0.138552, 0.021993, 0.001693, 0.018544, 0.010915, 0.005620, 0.214062, 0.716911, 0.285401, 0.133776, 0.000000, 0.022813, 0.010676, 0.005102, 0.000000, 0.008378, 0.001326, 0.002636, 0.043468, 0.062537, 0.051840, 0.005334, 0.098107, 0.174173, 0.127343, 0.020324, 0.001685, 0.018054, 0.008653, 0.004546
16, 1, 16, 5, 0.502244, 0.502244, 0.502244, NaN, 0.001865, 0.001865, 0.001865, NaN, 0.000311, 0.000311, 0.000311, NaN, 0.304642, 0.980866, 0.428776, 0.211476, 0.288756, 0.386870, 0.340646, 0.028421, 0.005361, 0.035717, 0.019466, 0.008661, 0.218460, 0.877611, 0.332373, 0.209095, 0.014104, 0.026170, 0.019684, 0.004125, 0.000000, 0.004106, 0.000915, 0.001478, 0.084005, 0.108867, 0.096149, 0.006987, 0.272859, 0.363736, 0.320189, 0.027676, 0.004939, 0.034495, 0.018350, 0.007980
32, 2, 16, 6, 0.602502, 0.602502, 0.602502, NaN, 0.002464, 0.002464, 0.002464, NaN, 0.000099, 0.000099, 0.000099, NaN, 0.338123, 10.844336, 0.996569, 2.407182, 0.618175, 0.910253, 0.802950, 0.080110, 0.019672, 0.082388, 0.045658, 0.019572, 0.221120, 10.703160, 0.851044, 2.408126, 0.021895, 0.052829, 0.039810, 0.008662, 0.000000, 0.011150, 0.001854, 0.003238, 0.114925, 0.169426, 0.145289, 0.013756, 0.570136, 0.862427, 0.762829, 0.078910, 0.014017, 0.082023, 0.043786, 0.019835
64, 4, 16, 7, 0.702889, 0.702889, 0.702889, NaN, 0.003155, 0.003155, 0.003155, NaN, 0.000204, 0.000204, 0.000204, NaN, 0.575264, 3.213600, 0.805674, 0.597556, 1.372747, 2.064277, 1.776329, 0.162749, 0.041361, 0.170027, 0.106460, 0.035849, 0.325782, 2.929171, 0.520955, 0.596960, 0.059881, 0.085914, 0.071062, 0.006368, 0.000000, 0.008117, 0.002609, 0.002948, 0.240736, 0.304030, 0.284507, 0.016655, 1.303233, 1.984689, 1.704989, 0.161080, 0.040402, 0.167943, 0.103629, 0.035390
128, 8, 16, 8, 0.802883, 0.802883, 0.802883, NaN, 0.000860, 0.000860, 0.000860, NaN, 0.003341, 0.003341, 0.003341, NaN, 1.212799, 1.268417, 1.239000, 0.014515, 2.986866, 3.304737, 3.175518, 0.084134, 0.105020, 0.239617, 0.181537, 0.030122, 0.362400, 0.381427, 0.373056, 0.005521, 0.092680, 0.130903, 0.114604, 0.011249, 0.000000, 0.020054, 0.005847, 0.005379, 0.841139, 0.899149, 0.865737, 0.015829, 2.874638, 3.177449, 3.060657, 0.084856, 0.101153, 0.239181, 0.175676, 0.030639
256, 16, 16, 9, 3.004187, 3.004187, 3.004187, NaN, 0.001052, 0.001052, 0.001052, NaN, 0.003822, 0.003822, 0.003822, NaN, 1.846035, 2.043132, 1.953409, 0.043218, 6.222078, 6.900675, 6.629020, 0.163824, 0.364474, 0.501118, 0.427074, 0.038674, 0.394537, 0.420693, 0.409594, 0.007018, 0.167812, 0.240315, 0.212018, 0.019970, 0.000000, 0.017099, 0.009639, 0.004775, 1.451295, 1.629069, 1.543592, 0.040779, 6.054077, 6.679238, 6.416731, 0.159161, 0.361835, 0.483982, 0.417417, 0.036271
512, 32, 16, 10, 3.104737, 3.104737, 3.104737, NaN, 0.005705, 0.005705, 0.005705, NaN, 0.000000, 0.000000, 0.000000, NaN, 2.849617, 3.014967, 2.947142, 0.046183, 15.296439, 16.346522, 15.914362, 0.266065, 0.768807, 1.031957, 0.922639, 0.076157, 0.455074, 0.491450, 0.475407, 0.011755, 0.370293, 0.511009, 0.450685, 0.046176, 0.008830, 0.049172, 0.021657, 0.011631, 2.373389, 2.545136, 2.471420, 0.046784, 14.819275, 15.835873, 15.463132, 0.265704, 0.758596, 1.012460, 0.900948, 0.072474
1024, 64, 16, 10, 1.003106, 1.003106, 1.003106, NaN, 0.000000, 0.000000, 0.000000, NaN, 0.003906, 0.003906, 0.003906, NaN, 2.827271, 3.076991, 3.001535, 0.070507, 24.980732, 27.406339, 26.601894, 0.653587, 1.101747, 1.406263, 1.217501, 0.074624, 0.497995, 0.541883, 0.520480, 0.012906, 1.025001, 1.205915, 1.108049, 0.041013, 0.012500, 0.079842, 0.047056, 0.020248, 2.313917, 2.561215, 2.480715, 0.069898, 23.939795, 26.333331, 25.493245, 0.658496, 1.032421, 1.335081, 1.170418, 0.070458
