hosts, depth, bf, min, max, avg, stddev, systime, usertime, rate
2, 1, 0, 0.118694, 0.125798, 0.121599, 0.002146, 0.024001, 0.220013, 0.000000
4, 1, 0, 0.135234, 0.146436, 0.140763, 0.002979, 0.020001, 0.240015, 0.000000
8, 1, 0, 0.176565, 0.202646, 0.184601, 0.006059, 0.024001, 0.236014, 0.000000
16, 1, 0, 0.252963, 0.285610, 0.268731, 0.007646, 0.016001, 0.244015, 0.000000
32, 2, 0, 0.426776, 0.451758, 0.441090, 0.005713, 0.040002, 0.204012, 0.000000
64, 4, 0, 0.810578, 0.887172, 0.845020, 0.018812, 0.032002, 0.224014, 0.000000
128, 8, 0, 1.817861, 1.929066, 1.873984, 0.028354, 0.008000, 0.264016, 0.000000
256, 16, 0, 3.119861, 3.233067, 3.165280, 0.026130, 0.004000, 0.268016, 0.000000
256, 16, 0, 3.117286, 3.225671, 3.180457, 0.031329, 0.020001, 0.252015, 0.000000
512, 32, 0, 5.589108, 5.804968, 5.664431, 0.048165, 0.028001, 0.264016, 0.000000
1024, 64, 0, 10.585687, 10.851892, 10.752964, 0.066150, 0.020001, 0.280017, 0.000000
