time, name, version, hash_source, binaries, binaries_size
20100101152753,whois,5.0.0,18d74a07d711262b75f04a1c319bc833,"whois",65022
20100101152753,iso-codes,3.12-1,8f58bd869eade9eda9675b7dc7255bf2,"iso-codes",2765686
20100101152753,man-db,2.5.6-4,69585b19c5600a863f1a0d7b7f283975,"man-db",1477142
20100101152753,pciutils,1:3.1.4-4,63567627e6a73b6c8c29d08d3f5e640c,"pciutils libpci-dev libpci3 pciutils-udeb",381488
20100101152753,tasksel,2.80,9cb01f5c0b54265f9700926cf0599921,"tasksel tasksel-data",182304
20100101152753,acpid,1:2.0.0-1,c9df18824dbf5614a2776bcfb5252343,"acpid kacpimon",76012
20100101152753,libxml2,2.7.6.dfsg-1,6cf87a92f1909a2bf5882ec4fcdc330f,"libxml2 libxml2-utils libxml2-dev libxml2-dbg libxml2-doc python-libxml2",4538592
20100101152753,psmisc,22.8-1,32c493bb484ce605a1cabba1aa084bca,"psmisc",92516
20100101152753,bzip2,1.0.5-3,3c15a0c8d1d3ee1c46a1634d00617b1a,"libbz2-1.0 libbz2-dev bzip2 lib64bz2-1.0 lib64bz2-dev lib32bz2-1.0 lib32bz2-dev bzip2-doc",525210
20100101152753,bsdmainutils,8.0.3,dd7e49d85b189a8e73d4e63f3f7d025a,"bsdmainutils",198370
20100101152753,dpkg,1.15.5.4,3bb8aff494cc03a5c2ff8c7cd85eb776,"dpkg dpkg-dev dselect",3768128
20100101152753,octave-gsl,1.0.8-1,9f45ab71dc77b57646d6bfab5984cccd,"octave-gsl",339684
20100101152753,zlib,1:1.2.3.3.dfsg-15,39ae1c6fbdd3b98d4fa9af25206202c5,"zlib1g zlib1g-dev zlib1g-dbg zlib-bin zlib1g-udeb lib64z1 lib64z1-dev lib32z1 lib32z1-dev libn32z1 libn32z1-dev",598698
