time, name, version, hash_source, binaries, binaries_size
20150501042823,acpid,1:2.0.23-2,adc7785134113b2feb3a2c155368bd48,"acpid kacpimon",88678
20150501042823,acpi,1.7-1,b52ce4ca39bbf7000a1c2de8879f1dcb,"acpi",15750
20150501042823,libcap2,1:2.24-8,07206c04f6928ee3552119fee026a37a,"libcap2-bin libcap2 libcap2-dbg libcap-dev libpam-cap",138906
20150501042823,adduser,3.113+nmu3,ccb5864bde56683182c89c44474e7182,"adduser",263714
20150501042823,aolserver4-nsxml,1.5-2.1,fa7f2be95332db7c9d66acb6fcb35eff,"aolserver4-nsxml",17380
20150501042823,aptitude,0.6.11-1,4e4e30020c9b11cb48cef0b6eb1f0b29,"aptitude aptitude-common aptitude-dbg aptitude-doc-cs aptitude-doc-en aptitude-doc-es aptitude-doc-fi aptitude-doc-fr aptitude-doc-it aptitude-doc-ja aptitude-doc-ru",24556334
20150501042823,attr,1:2.4.47-2,4230c11349217301c8a6ac49cec64de3,"attr libattr1-dev libattr1 attr-udeb libattr1-udeb",101052
20150501042823,base-files,8,d7f60c39f7899c6f94352800b4232856,"base-files",77852
20150501042823,base-passwd,3.5.37,d1a3b76878410b1fd396188dc732eca4,"base-passwd",64518
20150501042823,bash-completion,1:2.1-4,6497aa7f56c373b0b14f556a071f2714,"bash-completion",182056
20150501042823,bc,1.06.95-9,19956c89a62bcf4ab841140db40020ec,"bc dc",169290
20150501042823,bsdmainutils,9.0.6,afdbd3e8cddb349b01adc0c6e9f1254f,"bsdmainutils",183214
20150501042823,busybox,1:1.22.0-15,2a47c430b62ddbbd37a9a76abe455cda,"busybox busybox-static busybox-udeb busybox-syslogd udhcpc udhcpd",1303804
20150501042823,bzip2,1.0.6-7,3bc252d3eb0a16a4f5950fac8deb7bb1,"libbz2-1.0 libbz2-dev bzip2 bzip2-doc",426076
20150501042823,ca-certificates,20141019,f619282081c8bfc65ea64c37fa5285ed,"ca-certificates",199724
20150501042823,cal,4.0-3,b445302c814ad58e29d4704b51909fce,"ccal",33438
20150501042823,childsplay-alphabet-sounds-sl,0.9.1-1,a58938acea62b07946056c3a68e65155,"childsplay-alphabet-sounds-sl",311766
20150501042823,cl-salza2,2.0.9-1,da80a8a2e3a9153f7a4feca59081deec,"cl-salza2",15520
20150501042823,cpio,2.11+dfsg-4.1,04a8fe34d792c08d590e2ff03199be87,"cpio cpio-win32",235980
20150501042823,cron,3.0pl1-127,4c64aece846f8483daf440f8e3dd210f,"cron",93834
20150501042823,debconf,1.5.56,4a39b79a3c3a16664a8f83793a3b01ec,"debconf debconf-i18n debconf-doc debconf-utils",747590
20150501042823,debian-archive-keyring,2014.3,9b6774b8582ac4cf1b80ec24446519a7,"debian-archive-keyring debian-archive-keyring-udeb",40060
20150501042823,debianutils,4.4,c0cb076754d7f4eb1e3397d00916647f,"debianutils",99062
20150501042823,dictionaries-common,1.23.17,ad6f3cc60f3aa3e498d88b2362a54057,"dictionaries-common dictionaries-common-dev",390968
20150501042823,diffutils,1:3.3-1,b6651aba724cf52404b32002684fdc75,"diffutils diffutils-doc",363916
20150501042823,discover-data,2.2013.01.11,dff223c271f3e9c52e7ba065c96c92ff,"discover-data",496994
20150501042823,dmidecode,2.12-3,d41ddb0e9fd90e9ecafc17c60bb99841,"dmidecode dmidecode-dbg dmidecode-udeb",174056
20150501042823,dpkg,1.17.25,e48fcfdb2162e77d72c2a83432d537ca,"libdpkg-dev dpkg dpkg-dev libdpkg-perl dselect",7612404
20150501042823,dymo-cups-drivers,1.4.0-5,09c4369992efb69a0b6afd02f2309c68,"printer-driver-dymo",48904
20150501042823,e2fsprogs,1.42.12-1.1,6e82ccfdf0b84adf60362a6d50867127,"e2fsck-static libcomerr2 comerr-dev libss2 ss-dev e2fsprogs-udeb e2fslibs e2fslibs-dev e2fsprogs e2fsprogs-dbg e2fslibs-dbg libcomerr2-dbg libss2-dbg",3008560
20150501042823,eject,2.1.5+deb1+cvs20081104-13.1,20c77cab9012d3961243e39b3af87562,"eject eject-udeb",50700
20150501042823,exuberant-ctags,1:5.9~svn20110310-9,4994513b51629a6e265e1d75c1086c17,"exuberant-ctags",138948
20150501042823,fgetty,0.6-5,10238563b5b68d05792b74ea0cc2b6cf,"fgetty",25866
20150501042823,file,1:5.22+15-2,f131120cf3dc56b1f170c74df6ce1652,"file file-dbg libmagic1 libmagic-dev python-magic python3-magic",687772
20150501042823,findutils,4.4.2-9,f209d34902b0033db7033f86700350af,"findutils locate",664228
20150501042823,geoip-database,20150413-1,c09c8638cba34a6f4997dafea493d19f,"geoip-database geoip-database-extra",12881982
20150501042823,globus-ftp-control,6.6-1,6c99fb906b9a57ca470aedba24ce5fb8,"libglobus-ftp-control1 libglobus-ftp-control-dev libglobus-ftp-control-doc libglobus-ftp-control-dbg",400814
20150501042823,grep,2.20-4.1,17c35fb855ea56d3d79a922193f3a22b,"grep",325154
20150501042823,gvfs,1.22.2-1,30d147f060e7a8733e9de7b3cec112f8,"gvfs gvfs-daemons gvfs-libs gvfs-common gvfs-fuse gvfs-backends gvfs-bin gvfs-dbg",4655572
20150501042823,gzip,1.6-4,fa8cf6a094d62130740abed038b90155,"gzip gzip-win32",203794
20150501042823,hackrf,2014.08.1-1,58ae79395bc1dbf968a2878cc743840a,"libhackrf-dev libhackrf0 hackrf",47802
20150501042823,haskell-ghc-events,0.4.2.0-3,6b66f6589b0e63c95666ecb756647294,"libghc-ghc-events-dev libghc-ghc-events-prof libghc-ghc-events-doc",1349062
20150501042823,haskell-pcap,0.4.5.2-4,967b5671b69775552063c62d7e3d9204,"libghc-pcap-dev libghc-pcap-prof libghc-pcap-doc",337732
20150501042823,hostname,3.15,f93c87de2517850de5f47234e3bcb563,"hostname",13914
20150501042823,ifupdown,0.7.53.1,b36eab51a079e927b444a033bc608c65,"ifupdown",67184
20150501042823,init-system-helpers,1.22,8efb5573a3d31ae9dcb94262b8123b38,"init-system-helpers dh-systemd init",36762
20150501042823,initramfs-tools,0.120,d4b260cc2244b44ba48f9d0b84101dc7,"initramfs-tools",95700
20150501042823,insserv,1.14.0-5,e3e016cb9df189d1c71117726b10fe8e,"insserv",64774
20150501042823,installation-report,2.58,993d218c620c16f80708e3d93a67ebd2,"save-logs installation-report",18916
20150501042823,iptables,1.4.21-2,058b55fd2b5a5a6f561db953ccac30fc,"iptables libxtables10 iptables-dev",414228
20150501042823,iso-codes,3.57-1,5da0b57c114347c25c00b8eb4ea5b6f5,"iso-codes",2264690
20150501042823,jalview,2.7.dfsg-4,e5f4f31e294f3900c9af5c95b269447e,"jalview",3382378
20150501042823,kmod,20-1,9f080d31f815fb8b3905e650d161cd5f,"kmod module-init-tools libkmod2 libkmod-dev libkmod2-udeb",139750
20150501042823,laptop-detect,0.13.7,b5b3dab84ca03b66c8501dc8a98f9c91,"laptop-detect",5224
20150501042823,less,458-3,07a588ea3a3f95198401c74ab6067b6e,"less",124466
20150501042823,libclass-c3-adopt-next-perl,0.12-1,18153deca0c0dcb9b55bcf2581f1874f,"libclass-c3-adopt-next-perl",11086
20150501042823,libdata-stag-perl,0.13-1,c9011a0ee8c44349a3af492672fac1c4,"libdata-stag-perl",476226
20150501042823,libdist-zilla-plugin-config-git-perl,0.92-1,51bd2497d0558bc0b842c2478d739e69,"libdist-zilla-plugin-config-git-perl",15106
20150501042823,liblinux-usermod-perl,0.69-2,be810663a40b72375b76b2d6633d94cc,"liblinux-usermod-perl",11360
20150501042823,liblocale-gettext-perl,1.05-8,badc8ea1c66a14107d58b29853207ba6,"liblocale-gettext-perl",18974
20150501042823,libobject-remote-perl,0.003004-1,3d4b61163b76c68c4414ba36b58a2b6e,"libobject-remote-perl",51948
20150501042823,libpath-dispatcher-declarative-perl,0.03-1,74800ed592ba15c3ac293acb4e7cbe67,"libpath-dispatcher-declarative-perl",9748
20150501042823,libselinux,2.3-2,f5b29653930819a24155b42e78063e4e,"selinux-utils libselinux1 libselinux1-dev ruby-selinux python-selinux",580224
20150501042823,libsepol,2.3-2,aee06496d3c71479a6ae57c7f01988a1,"sepol-utils libsepol1 libsepol1-dev",317618
20150501042823,libtext-wrapi18n-perl,0.06-7,8f1a45d3adf86703e68fdb01523a2a9c,"libtext-wrapi18n-perl",9004
20150501042823,libtpl,1.6.1-1,ba3cdff1eb51ebd9a1fc59d09df110a1,"libtpl-dev libtpl0",117612
20150501042823,libxml-rsslite-perl,0.15+dfsg-2,78d4c26192f8d764819b38efd2018682,"libxml-rsslite-perl",13644
20150501042823,libxml2,2.9.1+dfsg1-5,62d007b34760042cf11438bb80e70543,"libxml2 libxml2-utils libxml2-utils-dbg libxml2-dev libxml2-dbg libxml2-doc python-libxml2 python-libxml2-dbg",4258636
20150501042823,linux-base,3.5,3274515e06938cf98fb4b263b6f631ae,"linux-base",34310
20150501042823,logrotate,3.8.7-1,d1d2acc2207b89609608bb64d675fce1,"logrotate",52236
