package,binary,size,wall_time,cpu_user_time,cpu_system_time,outcome
hostname,hostname_3.18_amd64.deb,14380,148.068,68.18,45.5,y
adduser,adduser_3.115_all.deb,241444,135.678,118.94,45.96,y
tzdata,tzdata_2016f-1_all.deb,217886,153.912,91.36,44.84,y
bsdmainutils,bsdmainutils_9.0.10_amd64.deb,183584,161.202,80.32,48.98,y
cpio,cpio_2.11+dfsg-5_amd64.deb,176636,311.745,145.02,92.21,y
logrotate,logrotate_3.8.7-2_amd64.deb,52120,158.817,74.35,47.53,y
debian-archive-keyring,debian-archive-keyring_2014.3_all.deb,40004,144.585,69.24,41.43,y
liblocale-gettext-perl,liblocale-gettext-perl_1.07-3_amd64.deb,18362,163.063,71.11,40.52,y
net-tools,net-tools_1.60+git20150829.73cef8a-2_amd64.deb,237594,150.397,79.41,44.61,y
ucf,ucf_3.0036_all.deb,69018,131.047,69.69,40.01,y
popularity-contest,popularity-contest_1.64_all.deb,70644,147.337,66.53,40.09,y
cron,cron_3.0pl1-128_amd64.deb,94272,158.036,67.76,41.12,y
manpages,manpages_4.07-1_all.deb,1163092,167.086,76.26,62.12,y
libtext-wrapi18n-perl,libtext-wrapi18n-perl_0.06-7.1_all.deb,7952,136.085,66.84,36.85,y
iptables,iptables_1.6.0-3_amd64.deb,274002,225.513,109.98,62.72,y
ifupdown,ifupdown_0.8.13_amd64.deb,74110,149.046,69.56,40.14,y
mime-support,mime-support_3.60_all.deb,36666,89.436,53.79,25.45,y
pciutils,pciutils_3.3.1-1.1_amd64.deb,264268,155.364,77.7,45.34,y
libxml2,libxml2_2.9.4+dfsg1-2_amd64.deb,919156,557.758,321.22,145.48,y
initramfs-tools,initramfs-tools_0.125_all.deb,63864,137.987,68.06,46.62,y
libcap2,libcap2_2.25-1_amd64.deb,16804,128.458,72.77,46.42,y
dmidecode,dmidecode_3.0-4_amd64.deb,68562,121.889,69.51,41.91,y
busybox,busybox_1.22.0-19_amd64.deb,394862,347.066,211.52,113.98,y
file,file_5.28-4_amd64.deb,62864,161.361,93.27,54.99,y
less,less_481-2.1_amd64.deb,126530,134.23,76.38,44.25,y
ca-certificates,ca-certificates_20160104_all.deb,199374,126.839,79.4,40.92,y
psmisc,psmisc_22.21-2.1_amd64.deb,120860,141.891,74.86,47.47,y
nano,nano_2.6.3-1_amd64.deb,510054,149.93,86.8,51.87,y
tasksel,tasksel_3.35_all.deb,93964,187.538,127.58,67.64,y
insserv,insserv_1.14.0-5.4_amd64.deb,60438,129.305,71.59,43.87,y
installation-report,installation-report_2.62_all.deb,19038,117.181,66.32,39.54,y
laptop-detect,laptop-detect_0.13.7_amd64.deb,5030,125.56,65.66,40.05,y
linux-base,linux-base_4.4_all.deb,18814,125.497,66.76,44.45,y
xml-core,xml-core_0.13+nmu2_all.deb,22364,133.878,63.37,42.3,y
aptitude,aptitude_0.8.3-1_amd64.deb,1476414,970.696,795.59,143.57,y
bzip2,bzip2_1.0.6-8_amd64.deb,46616,145.006,81.99,41.91,y
os-prober,os-prober_1.71_amd64.deb,28758,118.751,69.56,42.48,y
acpid,acpid_2.0.26-1_amd64.deb,55508,134.716,73.36,47.5,y
discover-data,discover-data_2.2013.01.11_all.deb,387812,131.577,70.33,42.7,y
bash-completion,bash-completion_2.1-4.3_all.deb,179220,167.836,72.42,49.94,y
dictionaries-common,dictionaries-common_1.27.1_all.deb,243706,168.966,74.28,45.94,y
eject,eject_2.1.5+deb1+cvs20081104-13.1_amd64.deb,50486,132.159,76.93,47.38,y
kmod,kmod_22-1.1_amd64.deb,85866,211.396,110.14,60.97,y
whois,whois_5.2.12_amd64.deb,68394,138.502,70.5,44.04,y
iso-codes,iso-codes_3.70-1_all.deb,2322588,167.289,97.18,56.88,y
geoip-database,geoip-database_20160912-1_all.deb,1974188,201.689,136.23,42.76,y
bc,bc_1.06.95-9_amd64.deb,103822,161.304,74.14,45.2,y
acpi,acpi_1.7-1_amd64.deb,15834,130.77,68.04,43.09,y
netbase,netbase_5.3_all.deb,18880,100.073,55.79,18.9,n
man-db,man-db_2.7.5-1_amd64.deb,1000442,122.725,63.84,21.88,n
