package,binary,size,wall_time,cpu_user_time,cpu_system_time,outcome
hostname,hostname_3.18_amd64.deb,14380,344.528,76.0,27.09,y
netbase,netbase_5.3_all.deb,18880,376.243,74.2,26.7,y
adduser,adduser_3.115_all.deb,241444,362.482,81.57,29.36,y
tzdata,tzdata_2016f-1_all.deb,217886,365.264,79.68,29.17,y
bsdmainutils,bsdmainutils_9.0.10_amd64.deb,183584,375.65,89.05,32.63,y
cpio,cpio_2.11+dfsg-5_amd64.deb,176636,494.034,143.76,55.96,y
logrotate,logrotate_3.8.7-2_amd64.deb,52120,377.87,82.93,30.45,y
debian-archive-keyring,debian-archive-keyring_2014.3_all.deb,40004,364.614,77.03,27.85,y
liblocale-gettext-perl,liblocale-gettext-perl_1.07-3_amd64.deb,18362,348.591,77.76,27.21,y
net-tools,net-tools_1.60+git20150829.73cef8a-2_amd64.deb,237594,358.757,85.2,29.47,y
ucf,ucf_3.0036_all.deb,69018,347.813,72.46,27.01,y
popularity-contest,popularity-contest_1.64_all.deb,70644,355.409,74.94,26.98,y
cron,cron_3.0pl1-128_amd64.deb,94272,364.572,77.68,28.67,y
libtext-wrapi18n-perl,libtext-wrapi18n-perl_0.06-7.1_all.deb,7952,351.34,72.98,27.12,y
iptables,iptables_1.6.0-3_amd64.deb,274002,408.787,115.1,38.54,y
ifupdown,ifupdown_0.8.13_amd64.deb,74110,364.757,79.94,28.34,y
man-db,man-db_2.7.5-1_amd64.deb,1000442,518.363,177.82,67.03,y
mime-support,mime-support_3.60_all.deb,36666,245.225,60.34,16.5,y
pciutils,pciutils_3.3.1-1.1_amd64.deb,264268,365.386,83.62,28.9,y
libxml2,libxml2_2.9.4+dfsg1-1_amd64.deb,919030,577.335,262.43,69.16,y
initramfs-tools,initramfs-tools_0.125_all.deb,63864,358.106,76.56,27.67,y
libcap2,libcap2_2.25-1_amd64.deb,16804,358.03,80.92,28.68,y
manpages,manpages_4.07-1_all.deb,1163092,388.201,80.89,40.46,y
dmidecode,dmidecode_3.0-4_amd64.deb,68562,339.059,78.25,27.76,y
busybox,busybox_1.22.0-19_amd64.deb,394862,512.46,213.64,59.08,y
file,file_5.28-4_amd64.deb,62864,393.973,105.08,35.95,y
less,less_481-2.1_amd64.deb,126530,346.569,85.5,29.87,y
ca-certificates,ca-certificates_20160104_all.deb,199374,342.241,78.37,27.71,y
nano,nano_2.6.3-1_amd64.deb,510054,338.012,96.55,33.9,y
tasksel,tasksel_3.35_all.deb,93964,393.728,116.55,44.5,y
installation-report,installation-report_2.62_all.deb,19038,326.892,74.31,26.66,y
laptop-detect,laptop-detect_0.13.7_amd64.deb,5030,345.71,75.04,26.95,y
linux-base,linux-base_4.4_all.deb,18814,347.692,74.67,26.88,y
xml-core,xml-core_0.13+nmu2_all.deb,22364,353.184,72.23,26.92,y
bzip2,bzip2_1.0.6-8_amd64.deb,46588,364.411,86.17,29.4,y
os-prober,os-prober_1.71_amd64.deb,28758,354.006,79.23,27.96,y
acpid,acpid_2.0.26-1_amd64.deb,55508,355.773,81.14,29.67,y
discover-data,discover-data_2.2013.01.11_all.deb,387812,374.969,82.2,28.18,y
bash-completion,bash-completion_2.1-4.3_all.deb,179220,361.57,79.13,34.0,y
dictionaries-common,dictionaries-common_1.27.1_all.deb,243706,362.127,83.12,29.92,y
eject,eject_2.1.5+deb1+cvs20081104-13.1_amd64.deb,50486,421.274,86.24,32.23,y
kmod,kmod_22-1.1_amd64.deb,85866,422.781,119.22,40.92,y
whois,whois_5.2.12_amd64.deb,68394,358.087,78.67,28.3,y
iso-codes,iso-codes_3.70-1_all.deb,2322588,395.616,106.68,36.34,y
geoip-database,geoip-database_20160812-1_all.deb,1759250,411.316,137.76,28.32,y
bc,bc_1.06.95-9_amd64.deb,103822,387.418,84.29,31.98,y
acpi,acpi_1.7-1_amd64.deb,15834,350.702,76.46,27.34,y
psmisc,psmisc_22.21-2.1_amd64.deb,121160,363.207,79.21,30.23,y
insserv,insserv_1.14.0-5.4_amd64.deb,60438,-1.0,-1.0,-1.0,f
aptitude,aptitude_0.8.3-1_amd64.deb,1476414,-1.0,-1.0,-1.0,f
