package,binary,size,wall_time,cpu_user_time,cpu_system_time,outcome
hostname,hostname_3.18_amd64.deb,14380,134.056,66.9,44.47,y
netbase,netbase_5.3_all.deb,18880,121.613,65.21,44.23,y
adduser,adduser_3.115_all.deb,241444,151.192,114.87,55.66,y
tzdata,tzdata_2016f-1_all.deb,217886,154.511,79.2,53.53,y
bsdmainutils,bsdmainutils_9.0.10_amd64.deb,183584,158.299,80.46,57.79,y
logrotate,logrotate_3.8.7-2_amd64.deb,52120,147.335,72.18,48.17,y
debian-archive-keyring,debian-archive-keyring_2014.3_all.deb,40004,141.893,67.82,49.9,y
liblocale-gettext-perl,liblocale-gettext-perl_1.07-3_amd64.deb,18362,144.195,69.33,49.63,y
net-tools,net-tools_1.60+git20150829.73cef8a-2_amd64.deb,237594,146.318,77.87,54.47,y
popularity-contest,popularity-contest_1.64_all.deb,70644,152.156,66.82,49.76,y
cron,cron_3.0pl1-128_amd64.deb,94272,148.794,68.59,50.98,y
iptables,iptables_1.6.0-3_amd64.deb,274002,208.571,107.45,66.16,y
ifupdown,ifupdown_0.8.13_amd64.deb,74110,141.444,70.04,45.25,y
mime-support,mime-support_3.60_all.deb,36666,106.236,52.73,30.15,y
pciutils,pciutils_3.3.1-1.1_amd64.deb,264268,143.541,70.12,49.94,y
libxml2,libxml2_2.9.4+dfsg1-1_amd64.deb,919030,411.75,263.31,124.18,y
initramfs-tools,initramfs-tools_0.125_all.deb,63864,143.608,68.02,50.06,y
libcap2,libcap2_2.25-1_amd64.deb,16804,146.816,72.56,52.37,y
dmidecode,dmidecode_3.0-4_amd64.deb,68562,146.458,70.8,49.67,y
busybox,busybox_1.22.0-19_amd64.deb,394862,318.914,186.72,116.65,y
file,file_5.28-4_amd64.deb,62864,182.862,96.39,62.46,y
less,less_481-2.1_amd64.deb,126530,133.017,70.24,45.97,y
nano,nano_2.6.3-1_amd64.deb,510054,177.651,87.48,62.55,y
tasksel,tasksel_3.35_all.deb,93964,224.19,126.45,84.24,y
installation-report,installation-report_2.62_all.deb,19038,10.288,6.64,2.57,y
laptop-detect,laptop-detect_0.13.7_amd64.deb,5030,155.808,67.68,49.49,y
linux-base,linux-base_4.4_all.deb,18814,13.293,6.14,2.46,y
xml-core,xml-core_0.13+nmu2_all.deb,22364,116.838,57.22,45.1,y
aptitude,aptitude_0.8.3-1_amd64.deb,1476414,980.67,783.4,161.99,y
os-prober,os-prober_1.71_amd64.deb,28758,15.473,9.8,3.57,y
acpid,acpid_2.0.26-1_amd64.deb,55508,155.152,74.28,55.03,y
discover-data,discover-data_2.2013.01.11_all.deb,387812,131.511,64.9,47.79,y
bash-completion,bash-completion_2.1-4.3_all.deb,179220,31.041,11.42,14.15,y
dictionaries-common,dictionaries-common_1.27.1_all.deb,243706,156.719,74.48,54.5,y
eject,eject_2.1.5+deb1+cvs20081104-13.1_amd64.deb,50486,172.155,77.36,55.28,y
kmod,kmod_22-1.1_amd64.deb,85866,224.399,111.53,69.62,y
whois,whois_5.2.12_amd64.deb,68394,141.795,70.31,46.58,y
iso-codes,iso-codes_3.70-1_all.deb,2322588,171.807,92.19,62.58,y
geoip-database,geoip-database_20160812-1_all.deb,1759250,214.0,134.28,52.16,y
bc,bc_1.06.95-9_amd64.deb,103822,148.846,68.96,54.35,y
acpi,acpi_1.7-1_amd64.deb,15834,147.193,69.4,51.24,y
cpio,cpio_2.11+dfsg-5_amd64.deb,176636,-1.0,-1.0,-1.0,f
ucf,ucf_3.0036_all.deb,69018,-1.0,-1.0,-1.0,f
manpages,manpages_4.07-1_all.deb,1163092,-1.0,-1.0,-1.0,f
libtext-wrapi18n-perl,libtext-wrapi18n-perl_0.06-7.1_all.deb,7952,-1.0,-1.0,-1.0,f
man-db,man-db_2.7.5-1_amd64.deb,1000442,-1.0,-1.0,-1.0,f
ca-certificates,ca-certificates_20160104_all.deb,199374,-1.0,-1.0,-1.0,f
psmisc,psmisc_22.21-2.1_amd64.deb,121160,-1.0,-1.0,-1.0,f
insserv,insserv_1.14.0-5.4_amd64.deb,60438,-1.0,-1.0,-1.0,f
bzip2,bzip2_1.0.6-8_amd64.deb,46588,-1.0,-1.0,-1.0,f
