package,binary,size,wall_time,cpu_user_time,cpu_system_time,outcome
hostname,hostname_3.18_amd64.deb,14380,371.971,75.71,27.33,y
netbase,netbase_5.3_all.deb,18880,374.901,74.23,27.17,y
adduser,adduser_3.115_all.deb,241444,396.968,82.14,29.13,y
tzdata,tzdata_2016f-1_all.deb,217886,387.112,78.5,29.55,y
bsdmainutils,bsdmainutils_9.0.10_amd64.deb,183584,421.588,87.89,32.63,y
cpio,cpio_2.11+dfsg-5_amd64.deb,176636,553.495,143.41,56.13,y
logrotate,logrotate_3.8.7-2_amd64.deb,52120,424.174,81.74,31.84,y
debian-archive-keyring,debian-archive-keyring_2014.3_all.deb,40004,395.919,76.64,27.62,y
liblocale-gettext-perl,liblocale-gettext-perl_1.07-3_amd64.deb,18362,394.952,77.16,27.75,y
net-tools,net-tools_1.60+git20150829.73cef8a-2_amd64.deb,237594,415.901,87.08,30.32,y
ucf,ucf_3.0036_all.deb,69018,399.828,73.92,27.64,y
popularity-contest,popularity-contest_1.64_all.deb,70644,399.064,74.61,26.99,y
cron,cron_3.0pl1-128_amd64.deb,94272,407.689,77.96,28.71,y
manpages,manpages_4.07-1_all.deb,1163092,407.032,78.7,40.28,y
libtext-wrapi18n-perl,libtext-wrapi18n-perl_0.06-7.1_all.deb,7952,377.91,72.0,27.67,y
iptables,iptables_1.6.0-3_amd64.deb,274002,449.003,112.87,38.71,y
ifupdown,ifupdown_0.8.13_amd64.deb,74110,390.393,80.11,28.11,y
man-db,man-db_2.7.5-1_amd64.deb,1000442,580.051,176.28,68.06,y
mime-support,mime-support_3.60_all.deb,36666,275.156,60.45,16.41,y
pciutils,pciutils_3.3.1-1.1_amd64.deb,264268,383.118,73.21,27.03,y
libxml2,libxml2_2.9.4+dfsg1-1_amd64.deb,919200,617.93,243.95,68.41,y
initramfs-tools,initramfs-tools_0.125_all.deb,63864,389.402,75.5,27.92,y
libcap2,libcap2_2.25-1_amd64.deb,16804,417.286,81.97,29.79,y
dmidecode,dmidecode_3.0-4_amd64.deb,68562,395.648,76.5,27.56,y
busybox,busybox_1.22.0-19_amd64.deb,394862,537.169,200.14,57.5,y
file,file_5.28-4_amd64.deb,62864,527.541,105.75,36.95,y
less,less_481-2.1_amd64.deb,126530,396.012,74.39,29.49,y
ca-certificates,ca-certificates_20160104_all.deb,199374,416.176,77.95,28.34,y
psmisc,psmisc_22.21-2.1_amd64.deb,121160,432.882,80.4,31.08,y
nano,nano_2.6.3-1_amd64.deb,510054,408.697,96.29,33.96,y
tasksel,tasksel_3.35_all.deb,93964,475.631,116.66,45.41,y
installation-report,installation-report_2.62_all.deb,19038,14.992,6.85,1.4,y
laptop-detect,laptop-detect_0.13.7_amd64.deb,5030,397.56,75.26,27.72,y
linux-base,linux-base_4.4_all.deb,18814,14.941,6.06,1.09,y
xml-core,xml-core_0.13+nmu2_all.deb,22364,371.021,61.6,25.8,y
bzip2,bzip2_1.0.6-8_amd64.deb,46588,390.799,75.59,28.28,y
os-prober,os-prober_1.71_amd64.deb,28758,18.925,10.46,1.92,y
acpid,acpid_2.0.26-1_amd64.deb,55508,392.013,80.5,29.74,y
discover-data,discover-data_2.2013.01.11_all.deb,387812,380.799,69.64,27.56,y
bash-completion,bash-completion_2.1-4.3_all.deb,179220,30.87,12.64,8.09,y
dictionaries-common,dictionaries-common_1.27.1_all.deb,243706,413.597,82.42,30.82,y
eject,eject_2.1.5+deb1+cvs20081104-13.1_amd64.deb,50486,458.975,84.11,30.84,y
whois,whois_5.2.12_amd64.deb,68394,377.872,77.95,28.24,y
iso-codes,iso-codes_3.70-1_all.deb,2322588,411.958,95.81,35.29,y
geoip-database,geoip-database_20160812-1_all.deb,1759250,444.289,137.72,29.23,y
bc,bc_1.06.95-9_amd64.deb,103822,433.181,73.12,30.51,y
acpi,acpi_1.7-1_amd64.deb,15834,386.175,77.4,27.87,y
insserv,insserv_1.14.0-5.4_amd64.deb,60438,-1.0,-1.0,-1.0,f
aptitude,aptitude_0.8.3-1_amd64.deb,1476414,-1.0,-1.0,-1.0,f
kmod,kmod_22-1.1_amd64.deb,85866,-1.0,-1.0,-1.0,f
