package,binary,size,wall_time,cpu_user_time,cpu_system_time,outcome
golang-github-hlandau-xlog,golang-github-hlandau-xlog-dev_0.0~git20160208.0.c18de57-1_all.deb,8074,194.747,76.1,45.62,y
cal,ccal_4.0-3_amd64.deb,31088,131.766,67.62,43.59,y
libpath-dispatcher-declarative-perl,libpath-dispatcher-declarative-perl_0.03-1_all.deb,8512,148.696,70.25,41.31,y
lunar-date,liblunar-date-dev_2.4.0-3_amd64.deb,46436,238.109,108.27,56.28,y
pmailq,pmailq_0.5-2_all.deb,8720,130.857,63.12,38.93,y
aolserver4-nsxml,aolserver4-nsxml_1.5-2.1_amd64.deb,15162,229.886,106.9,57.82,y
node-tilelive-vector,node-tilelive-vector_0.1.3-1_all.deb,6856,147.404,68.34,40.21,y
golang-github-hashicorp-go-getter,golang-github-hashicorp-go-getter-dev_0.0~git20160316.0.575ec4e-1_all.deb,27646,174.394,80.1,41.42,y
libdata-stag-perl,libdata-stag-perl_0.14-2_all.deb,447644,132.584,70.67,40.56,y
libnet-oauth2-perl,libnet-oauth2-perl_0.63-1_all.deb,38836,128.373,65.84,40.44,y
libjs-jquery-dotdotdot,libjs-jquery-dotdotdot_1.8.3+dfsg-1_all.deb,9594,182.842,75.46,43.51,y
libclass-c3-adopt-next-perl,libclass-c3-adopt-next-perl_0.14-1_all.deb,13406,152.945,68.4,40.68,y
libobject-remote-perl,libobject-remote-perl_0.004000-1_all.deb,48862,157.09,79.22,41.92,y
libxml-rsslite-perl,libxml-rsslite-perl_0.15+dfsg-2_all.deb,12212,129.375,66.85,40.55,y
python-click-log,python-click-log_0.1.4-1_all.deb,4644,159.255,81.57,44.84,y
cl-salza2,cl-salza2_2.0.9-1_all.deb,15450,134.702,67.08,38.73,y
globus-ftp-control,libglobus-ftp-control1_7.4-1_amd64.deb,60992,208.221,102.31,61.17,y
childsplay-alphabet-sounds-sl,childsplay-alphabet-sounds-sl_0.9.1-1_all.deb,310524,124.255,66.94,37.71,y
fgetty,fgetty_0.7-1_amd64.deb,21268,134.264,69.29,41.81,y
xmlextras,libjs-xmlextras_20060529-1_all.deb,23618,162.6,67.44,46.21,y
node-superagent,node-superagent_0.20.0+dfsg-1_all.deb,18006,119.442,68.0,39.47,y
django-memoize,python-django-memoize_2.0.0+dfsg-1_all.deb,8354,172.484,91.28,51.98,y
libtemplate-plugin-stash-perl,libtemplate-plugin-stash-perl_1.006-1_all.deb,5092,143.128,67.36,46.35,y
systraq,systraq_20160803-1_all.deb,445466,131.818,68.23,44.52,y
libtpl,libtpl-dev_1.6.1-1_all.deb,97380,144.142,76.08,46.02,y
libdist-zilla-plugin-config-git-perl,libdist-zilla-plugin-config-git-perl_0.92-1_all.deb,13706,154.146,78.18,51.18,y
php-doctrine-cache-bundle,php-doctrine-cache-bundle_1.3.0-4_all.deb,18974,147.927,82.51,48.85,y
tz-converter,tz-converter_1.0.0-1_all.deb,54374,134.856,74.11,45.57,y
slice,slice_1.3.8-13_all.deb,24362,118.959,68.2,39.97,y
xfce4-taskmanager,xfce4-taskmanager_1.1.0-1_amd64.deb,88850,213.159,109.13,61.9,y
node-simplesmtp,node-simplesmtp_0.3.35-1_all.deb,24690,132.193,67.98,40.21,y
visionegg,python-visionegg_1.2.1-2_amd64.deb,598696,179.795,96.07,52.23,y
gvfs,gvfs_1.29.92-1_amd64.deb,121234,512.006,283.84,132.96,y
ply,python-ply_3.7-1_all.deb,63670,139.47,80.36,43.69,y
dymo-cups-drivers,printer-driver-dymo_1.4.0-5_amd64.deb,49156,180.207,99.47,50.56,y
ruby-bacon,ruby-bacon_1.2.0-4_all.deb,14772,190.302,97.64,49.83,y
liblinux-usermod-perl,liblinux-usermod-perl_0.69-2_all.deb,10594,117.878,66.46,42.72,y
puppet-module-puppetlabs-postgresql,puppet-module-puppetlabs-postgresql_4.7.1-2_all.deb,52818,127.483,67.28,42.46,y
octave-gsl,octave-gsl_1.0.8-7_amd64.deb,270396,312.075,191.33,70.13,y
exuberant-ctags,exuberant-ctags_5.9~svn20110310-11_amd64.deb,146074,140.293,75.09,39.34,y
yacpi,yacpi_3.0-2_amd64.deb,12780,145.418,68.82,40.99,n
hackrf,hackrf_2015.07.2-10_amd64.deb,28950,131.928,77.95,45.5,n
sshfs-fuse,sshfs_2.8-1_amd64.deb,43062,137.244,76.74,45.04,n
haskell-mutable-containers,libghc-mutable-containers-dev_0.3.2.1-1_amd64.deb,68428,193.105,114.05,55.21,n
qdacco,qdacco_0.8.2-2_amd64.deb,110418,211.598,129.59,58.07,n
haskell-ghc-events,libghc-ghc-events-dev_0.4.4.0-3_amd64.deb,655874,212.06,136.87,53.46,n
jalview,jalview_2.7.dfsg-5_all.deb,3392260,356.423,180.93,77.61,n
masscan,masscan_1.0.3-104-g676635d~ds0-1_amd64.deb,166110,126.293,65.47,41.18,n
geronimo-ejb-3.2-spec,libgeronimo-ejb-3.2-spec-java_1.0~alpha-1-1_all.deb,38732,257.676,117.58,65.21,n
haskell-pcap,libghc-pcap-dev_0.4.5.2-9_amd64.deb,133052,195.503,100.31,54.03,n
