package,binary,size,wall_time,cpu_user_time,cpu_system_time,outcome
attr,attr_2.4.47-2_amd64.deb,42966,395.026,83.05,33.69,y
base-files,base-files_9.6_amd64.deb,70220,376.884,72.6,27.5,y
base-passwd,base-passwd_3.5.40_amd64.deb,57412,446.962,87.6,31.8,y
debconf,debconf_1.5.59_all.deb,159806,463.902,101.78,35.01,y
debianutils,debianutils_4.8_amd64.deb,99550,291.265,64.31,18.04,y
diffutils,diffutils_3.5-1_amd64.deb,311724,464.762,121.54,45.79,y
dpkg,dpkg_1.18.10.0~reproducible0_amd64.deb,2481474,569.802,190.7,56.34,y
grep,grep_2.25-6_amd64.deb,365940,503.737,142.99,55.73,y
gzip,gzip_1.6-5_amd64.deb,111510,546.602,159.57,52.48,y
util-linux,util-linux_2.28.1-1_amd64.deb,935352,584.828,265.86,74.84,y
zlib,zlib1g_1.2.8.dfsg-2_amd64.deb,87574,359.635,96.28,30.86,y
findutils,findutils_4.6.0+git+20160703-2_amd64.deb,616378,590.596,155.79,85.19,y
init-system-helpers,init-system-helpers_1.42_all.deb,42356,434.543,73.18,27.51,y
lsb,lsb-base_9.20160629_all.deb,27574,369.627,82.7,28.64,y
mawk,mawk_1.3.3-17_amd64.deb,82640,377.153,77.97,29.52,y
sed,sed_4.2.2-8_amd64.deb,242858,396.218,92.95,32.76,y
sysvinit,sysvinit-core_2.88dsf-59.8_amd64.deb,133180,370.828,81.77,30.11,y
pcre3,libpcre3_8.39-2_amd64.deb,336880,467.087,179.09,40.94,y
libselinux,libselinux1_2.5-3_amd64.deb,97542,565.484,149.43,45.25,n
libsepol,libsepol1_2.5-1_amd64.deb,235342,387.618,98.55,29.11,n
pam,libpam0g_1.1.8-3.3_amd64.deb,124884,-1.0,-1.0,-1.0,f
coreutils,coreutils_8.25-2_amd64.deb,2774490,-1.0,-1.0,-1.0,f
tar,tar_1.29b-1_amd64.deb,752722,-1.0,-1.0,-1.0,f
perl,perl_5.22.2-3_amd64.deb,237546,-1.0,-1.0,-1.0,f
