Peers, depth, bf, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_system_avg, round_user_avg, rate
2, 1, 2, 0.109487, 0.112366, 0.110365, 0.000911, 0.064004, 0.420026, 0.000000
4, 1, 3, 0.113903, 0.119744, 0.116065, 0.002480, 0.072004, 1.444090, 0.000000
8, 1, 4, 0.222039, 0.228945, 0.224213, 0.002539, 0.152009, 3.136196, 0.000000
16, 1, 5, 0.225821, 0.637782, 0.270420, 0.122480, 0.292018, 6.904431, 0.000000
32, 2, 6, 0.237036, 10.414195, 1.365112, 3.032999, 0.228014, 16.041002, 0.000000
64, 4, 7, 0.353187, 0.974524, 0.421458, 0.184411, 0.468029, 29.941871, 0.000000
128, 8, 8, 0.476069, 1.946035, 0.644529, 0.434168, 1.536096, 55.447465, 0.000000
256, 16, 9, 0.566753, 0.921326, 0.651212, 0.096300, 5.124320, 121.995624, 0.000000
512, 32, 10, 0.989090, 1.285709, 1.112588, 0.092960, 2.600162, 289.246076, 0.000000
1024, 64, 10, 1.621387, 2.250708, 1.872934, 0.233009, 4.588286, 581.416336, 0.000000
