Peers, ppm, bf, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_system_avg, round_user_avg, rate
2, 1, 2, 0.206181, 0.269042, 0.210499, 0.013991, 0.048003, 0.172010, 1233.333333
4, 1, 2, 0.410780, 0.445122, 0.413110, 0.007357, 0.056003, 0.192012, 1433.333333
8, 1, 3, 0.411256, 0.485348, 0.414119, 0.013463, 0.088005, 0.216013, 1433.333333
16, 1, 4, 0.412070, 0.476790, 0.415335, 0.011769, 0.068004, 0.272017, 1433.333333
32, 2, 5, 0.615733, 0.616794, 0.616085, 0.000256, 0.092005, 0.288018, 1666.666667
64, 4, 6, 0.619350, 0.666249, 0.623534, 0.011395, 0.096006, 0.324020, 1666.666667
128, 8, 7, 0.628251, 0.695538, 0.632673, 0.011927, 0.072004, 0.404025, 1666.666667
256, 16, 8, 0.642246, 0.646479, 0.643769, 0.001019, 0.104006, 0.460028, 1666.666667
512, 32, 9, 0.658839, 0.698654, 0.666559, 0.008021, 0.124007, 0.496031, 1700.000000
1024, 64, 10, 0.700326, 0.735884, 0.708723, 0.008613, 0.120007, 0.636039, 1733.333333
2048, 128, 11, 0.972734, 1.005249, 0.987141, 0.008805, 0.192012, 0.764047, 2066.666667
4096, 256, 12, 1.150135, 1.276106, 1.191593, 0.023739, 0.184011, 1.052065, 2333.333333
8192, 512, 13, 1.839814, 2.207453, 1.974028, 0.092792, 0.560035, 1.828114, 3133.333333
