hosts, servers, bf, depth, filter_round, hosts, rounds, ChildrenWait_wall_min, ChildrenWait_wall_max, ChildrenWait_wall_avg, ChildrenWait_wall_dev, ChildrenWait_user_min, ChildrenWait_user_max, ChildrenWait_user_avg, ChildrenWait_user_dev, ChildrenWait_system_min, ChildrenWait_system_max, ChildrenWait_system_avg, ChildrenWait_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev
7, 16, 2, 2, 80, 7, 20, 1.214017, 1.214017, 1.214017, NaN, 0.007740, 0.007740, 0.007740, NaN, 0.000456, 0.000456, 0.000456, NaN, 0.431903, 0.444533, 0.439596, 0.003280, 0.006101, 0.023009, 0.016608, 0.004229, 0.000000, 0.008739, 0.001101, 0.002312
13, 16, 3, 2, 80, 13, 20, 1.618083, 1.618083, 1.618083, NaN, 0.012054, 0.012054, 0.012054, NaN, 0.004744, 0.004744, 0.004744, NaN, 0.434592, 0.446017, 0.440191, 0.002661, 0.009948, 0.022545, 0.018285, 0.003328, 0.000000, 0.007447, 0.002000, 0.002799
21, 16, 4, 2, 80, 21, 20, 1.770483, 1.770483, 1.770483, NaN, 0.018232, 0.018232, 0.018232, NaN, 0.000203, 0.000203, 0.000203, NaN, 0.436529, 0.449408, 0.443390, 0.003902, 0.027172, 0.044005, 0.035834, 0.005224, 0.000000, 0.008249, 0.001733, 0.002687
31, 16, 5, 2, 80, 31, 20, 2.476929, 2.476929, 2.476929, NaN, 0.016055, 0.016055, 0.016055, NaN, 0.004231, 0.004231, 0.004231, NaN, 0.441429, 0.450173, 0.447239, 0.002526, 0.027870, 0.045126, 0.037454, 0.004415, 0.000000, 0.004249, 0.001464, 0.001770
43, 16, 6, 2, 80, 43, 20, 2.882173, 2.882173, 2.882173, NaN, 0.016083, 0.016083, 0.016083, NaN, 0.014579, 0.014579, 0.014579, NaN, 0.441939, 0.452913, 0.446836, 0.002976, 0.042874, 0.067847, 0.055641, 0.010966, 0.000044, 0.013448, 0.004205, 0.003983
57, 16, 7, 2, 80, 57, 20, 2.982928, 2.982928, 2.982928, NaN, 0.034775, 0.034775, 0.034775, NaN, 0.009208, 0.009208, 0.009208, NaN, 0.444662, 0.455569, 0.450086, 0.003275, 0.043593, 0.079932, 0.060984, 0.011153, 0.000000, 0.012975, 0.004334, 0.004506
73, 16, 8, 2, 80, 73, 20, 3.737427, 3.737427, 3.737427, NaN, 0.033848, 0.033848, 0.033848, NaN, 0.010521, 0.010521, 0.010521, NaN, 0.447918, 0.459833, 0.455080, 0.004073, 0.064044, 0.110496, 0.085167, 0.011304, 0.000000, 0.027287, 0.004777, 0.006811
585, 16, 8, 3, 80, 585, 20, 5.259498, 5.259498, 5.259498, NaN, 0.345180, 0.345180, 0.345180, NaN, 0.120459, 0.120459, 0.120459, NaN, 0.783661, 0.799470, 0.790794, 0.004341, 0.741017, 1.273852, 0.969819, 0.176073, 0.005710, 0.149575, 0.061463, 0.039047
4681, 16, 8, 4, 80, 4681, 20, 7.183576, 7.183576, 7.183576, NaN, 3.938219, 3.938219, 3.938219, NaN, 0.598634, 0.598634, 0.598634, NaN, 1.679385, 1.758483, 1.724540, 0.026993, 8.238775, 8.602040, 8.419958, 0.126751, 0.262707, 0.555381, 0.383976, 0.077994
37449, 16, 8, 5, 80, 37449, 10, 32.858941, 32.858941, 32.858941, NaN, 72.698035, 72.698035, 72.698035, NaN, 5.310276, 5.310276, 5.310276, NaN, 7.490373, 7.667639, 7.580182, 0.072582, 70.666178, 72.135415, 71.501854, 0.475608, 1.905393, 2.234228, 2.093945, 0.107895
