hosts, servers, bf, depth, filter_round, hosts, rounds, ChildrenWait_wall_min, ChildrenWait_wall_max, ChildrenWait_wall_avg, ChildrenWait_wall_dev, ChildrenWait_user_min, ChildrenWait_user_max, ChildrenWait_user_avg, ChildrenWait_user_dev, ChildrenWait_system_min, ChildrenWait_system_max, ChildrenWait_system_avg, ChildrenWait_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev
4096, 16, 2, 12, 80, 4096, 10, 7.758739, 7.758739, 7.758739, NaN, 3.132978, 3.132978, 3.132978, NaN, 0.418462, 0.418462, 0.418462, NaN, 5.699147, 5.921774, 5.770757, 0.102541, 9.147686, 9.211796, 9.179741, 0.045333, 0.093903, 0.199485, 0.140746, 0.044649
4096, 16, 3, 8, 80, 4096, 10, 5.359193, 5.359193, 5.359193, NaN, 2.808016, 2.808016, 2.808016, NaN, 0.302857, 0.302857, 0.302857, NaN, 4.256385, 4.317157, 4.291219, 0.021001, 8.704435, 8.704435, 8.704435, NaN, 0.099525, 0.129145, 0.118514, 0.013828
4096, 16, 4, 6, 80, 4096, 10, 4.340190, 4.340190, 4.340190, NaN, 2.706113, 2.706113, 2.706113, NaN, 0.209861, 0.209861, 0.209861, NaN, 3.410795, 3.429635, 3.422133, 0.007043, 7.800533, 7.836066, 7.820262, 0.018089, 0.088895, 0.138694, 0.108116, 0.019665
4096, 16, 5, 6, 80, 4096, 10, 6.445749, 6.445749, 6.445749, NaN, 2.669619, 2.669619, 2.669619, NaN, 0.303824, 0.303824, 0.303824, NaN, 3.360569, 3.415074, 3.378239, 0.020093, 7.691039, 7.838382, 7.755722, 0.049857, 0.075803, 0.153506, 0.109865, 0.029495
4096, 16, 6, 5, 80, 4096, 10, 4.096668, 4.096668, 4.096668, NaN, 2.359313, 2.359313, 2.359313, NaN, 0.243925, 0.243925, 0.243925, NaN, 2.936214, 2.999894, 2.951466, 0.021127, 6.907375, 7.070988, 7.011257, 0.060124, 0.108385, 0.167590, 0.125347, 0.024102
4096, 16, 7, 5, 80, 4096, 10, 3.711624, 3.711624, 3.711624, NaN, 2.499160, 2.499160, 2.499160, NaN, 0.242888, 0.242888, 0.242888, NaN, 2.898012, 2.942596, 2.918709, 0.014487, 7.060104, 7.060104, 7.060104, NaN, 0.078653, 0.134815, 0.105714, 0.015660
4096, 16, 8, 4, 80, 4096, 10, 3.422340, 3.422340, 3.422340, NaN, 2.564259, 2.564259, 2.564259, NaN, 0.226155, 0.226155, 0.226155, NaN, 2.527014, 2.557377, 2.540348, 0.011103, 6.754129, 6.879474, 6.821645, 0.047230, 0.073190, 0.121544, 0.091384, 0.016069
4096, 16, 9, 4, 80, 4096, 10, 3.370643, 3.370643, 3.370643, NaN, 2.499924, 2.499924, 2.499924, NaN, 0.199985, 0.199985, 0.199985, NaN, 2.458605, 2.492888, 2.473806, 0.011558, 6.451652, 6.594057, 6.510443, 0.074377, 0.077738, 0.129735, 0.102034, 0.018128
4096, 16, 10, 4, 80, 4096, 10, 3.176255, 3.176255, 3.176255, NaN, 2.559711, 2.559711, 2.559711, NaN, 0.194232, 0.194232, 0.194232, NaN, 2.518270, 2.518270, 2.518270, NaN, 6.264089, 6.399714, 6.351287, 0.044793, 0.059815, 0.135355, 0.105798, 0.028447
4096, 16, 11, 4, 80, 4096, 10, 3.270748, 3.270748, 3.270748, NaN, 2.513404, 2.513404, 2.513404, NaN, 0.182359, 0.182359, 0.182359, NaN, 2.500899, 2.500899, 2.500899, NaN, 6.215174, 6.376051, 6.291571, 0.046392, 0.060824, 0.155995, 0.094687, 0.042274
4096, 16, 12, 4, 80, 4096, 10, 3.663948, 3.663948, 3.663948, NaN, 2.484462, 2.484462, 2.484462, NaN, 0.198240, 0.198240, 0.198240, NaN, 2.465846, 2.505005, 2.485426, 0.027689, 6.306516, 6.449638, 6.368129, 0.051865, 0.154567, 0.154567, 0.154567, NaN
4096, 16, 13, 4, 80, 4096, 10, 3.300195, 3.300195, 3.300195, NaN, 2.375517, 2.375517, 2.375517, NaN, 0.257583, 0.257583, 0.257583, NaN, 2.439561, 2.487847, 2.464259, 0.019821, 6.202732, 6.411322, 6.295763, 0.070859, 0.077876, 0.155742, 0.108216, 0.027748
4096, 16, 14, 4, 80, 4096, 10, 3.634368, 3.634368, 3.634368, NaN, 2.383358, 2.383358, 2.383358, NaN, 0.255835, 0.255835, 0.255835, NaN, 2.471722, 2.471722, 2.471722, NaN, 6.236633, 6.334257, 6.281574, 0.030807, 0.092701, 0.127610, 0.108480, 0.013944
4096, 16, 15, 4, 80, 4096, 10, 3.465129, 3.465129, 3.465129, NaN, 2.463779, 2.463779, 2.463779, NaN, 0.276524, 0.276524, 0.276524, NaN, 2.440258, 2.478595, 2.459507, 0.019169, 6.491994, 6.491994, 6.491994, NaN, 0.057160, 0.143823, 0.102164, 0.024876
4096, 16, 16, 3, 80, 4096, 10, 2.705422, 2.705422, 2.705422, NaN, 2.333218, 2.333218, 2.333218, NaN, 0.178175, 0.178175, 0.178175, NaN, 2.060148, 2.073386, 2.065717, 0.005262, 6.019928, 6.178928, 6.127545, 0.054589, 0.061264, 0.113195, 0.088721, 0.017128
