hosts,bf,depth,filter_round,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
8192,2,13,80,10,32,0.640951,0.640951,0.640951,0.640951,NaN,5.557589,5.557589,5.557589,5.557589,NaN,8.680468,8.680468,8.680468,8.680468,NaN,5861.000000,133367.000000,16396.574879,3394091.000000,13041.757144,6196.000000,132823.000000,16601.869565,3436587.000000,12851.190388,12160.000000,12160.000000,12160.000000,12160.000000,NaN,10600.000000,10600.000000,10600.000000,10600.000000,NaN,0.245822,0.564631,0.367046,3.670465,0.081873,10.590345,11.244755,10.936626,109.366256,0.204210,6.288282,6.352113,6.316731,63.167313,0.020756
8192,3,8,80,10,32,0.516906,0.516906,0.516906,0.516906,NaN,5.095814,5.095814,5.095814,5.095814,NaN,7.073272,7.073272,7.073272,7.073272,NaN,5860.000000,103424.000000,18644.208054,2777987.000000,13091.117684,6196.000000,96676.000000,18755.570470,2794580.000000,12544.222282,18240.000000,18240.000000,18240.000000,18240.000000,NaN,15900.000000,15900.000000,15900.000000,15900.000000,NaN,0.245463,0.825205,0.382991,3.829910,0.172588,10.290648,10.767057,10.512074,105.120739,0.168390,4.366269,4.441675,4.402190,44.021896,0.024466
8192,4,7,80,10,32,0.440065,0.440065,0.440065,0.440065,NaN,4.888758,4.888758,4.888758,4.888758,NaN,5.670602,5.670602,5.670602,5.670602,NaN,5860.000000,111720.000000,37470.363636,5770436.000000,18779.159517,6196.000000,109617.000000,36752.279221,5659851.000000,18097.726350,24320.000000,24320.000000,24320.000000,24320.000000,NaN,21200.000000,21200.000000,21200.000000,21200.000000,NaN,0.231708,0.518275,0.293841,2.938406,0.089685,8.791830,9.491815,9.103983,91.039829,0.208445,3.842745,3.916879,3.879175,38.791749,0.023541
8192,5,6,80,10,32,0.519037,0.519037,0.519037,0.519037,NaN,5.085749,5.085749,5.085749,5.085749,NaN,5.837601,5.837601,5.837601,5.837601,NaN,5860.000000,75640.000000,32919.000000,3160224.000000,24639.928445,6196.000000,72762.000000,32815.389474,3117462.000000,23508.308177,30400.000000,30400.000000,30400.000000,30400.000000,NaN,26500.000000,26500.000000,26500.000000,26500.000000,NaN,0.252793,0.482578,0.337925,3.379247,0.067942,8.678437,9.156425,8.889877,88.898775,0.147423,3.413350,3.502356,3.445627,34.456266,0.023641
8192,6,5,80,10,32,0.529249,0.529249,0.529249,0.529249,NaN,4.917477,4.917477,4.917477,4.917477,NaN,5.279447,5.279447,5.279447,5.279447,NaN,5860.000000,105880.000000,27912.936709,2205122.000000,21524.259520,6196.000000,102223.000000,28213.538462,2200656.000000,20974.308488,36480.000000,36480.000000,36480.000000,36480.000000,NaN,31800.000000,31800.000000,31800.000000,31800.000000,NaN,0.205739,0.784491,0.357839,3.578388,0.159808,8.395896,9.254417,8.738301,87.383005,0.258130,2.978750,3.044211,3.011737,30.117365,0.021757
8192,7,5,80,10,32,0.412562,0.412562,0.412562,0.412562,NaN,4.776810,4.776810,4.776810,4.776810,NaN,4.524873,4.524873,4.524873,4.524873,NaN,5860.000000,65556.000000,22120.390625,2831410.000000,23026.507741,6196.000000,61119.000000,21981.039063,2813573.000000,22178.976354,42560.000000,42560.000000,42560.000000,42560.000000,NaN,37100.000000,37100.000000,37100.000000,37100.000000,NaN,0.164268,0.545000,0.298375,2.983747,0.106658,7.995404,8.666711,8.356126,83.561263,0.221761,2.966550,3.062345,3.009794,30.097936,0.027018
8192,8,5,80,10,32,0.425684,0.425684,0.425684,0.425684,NaN,4.610343,4.610343,4.610343,4.610343,NaN,4.351059,4.351059,4.351059,4.351059,NaN,5860.000000,75973.000000,26892.805755,3738100.000000,29151.735762,6196.000000,70757.000000,26225.820144,3645389.000000,27500.856743,48640.000000,48640.000000,48640.000000,48640.000000,NaN,42400.000000,42400.000000,42400.000000,42400.000000,NaN,0.180787,0.701828,0.314497,3.144969,0.154033,7.976879,8.391474,8.182312,81.823123,0.127110,2.909140,2.987861,2.957414,29.574144,0.023302
8192,9,5,80,10,32,0.689255,0.689255,0.689255,0.689255,NaN,4.983815,4.983815,4.983815,4.983815,NaN,6.243655,6.243655,6.243655,6.243655,NaN,5860.000000,86860.000000,25084.255474,3436543.000000,29880.968845,6196.000000,80866.000000,24709.496350,3385201.000000,28443.648547,54720.000000,54720.000000,54720.000000,54720.000000,NaN,47700.000000,47700.000000,47700.000000,47700.000000,NaN,0.255045,0.379455,0.311708,3.117081,0.038360,8.176537,8.642097,8.406346,84.063459,0.164996,2.855238,2.920518,2.886881,28.868810,0.021146
8192,10,4,80,10,32,0.382152,0.382152,0.382152,0.382152,NaN,4.975773,4.975773,4.975773,4.975773,NaN,4.451218,4.451218,4.451218,4.451218,NaN,5860.000000,98220.000000,28389.962963,2299587.000000,32785.341151,6196.000000,91447.000000,28472.037500,2277763.000000,31861.813471,60800.000000,60800.000000,60800.000000,60800.000000,NaN,53000.000000,53000.000000,53000.000000,53000.000000,NaN,0.174416,0.617706,0.337129,3.371292,0.121616,7.991088,8.432097,8.190567,81.905667,0.146406,2.501195,2.564736,2.523586,25.235858,0.017248
8192,11,4,80,10,32,0.498445,0.498445,0.498445,0.498445,NaN,4.918673,4.918673,4.918673,4.918673,NaN,5.067048,5.067048,5.067048,5.067048,NaN,5860.000000,110052.000000,35561.292683,2916026.000000,39619.428056,6196.000000,102500.000000,35255.777778,2855718.000000,37982.921977,66880.000000,66880.000000,66880.000000,66880.000000,NaN,58300.000000,58300.000000,58300.000000,58300.000000,NaN,0.225149,0.457015,0.335755,3.357546,0.087240,7.552397,8.359841,8.093663,80.936633,0.248621,2.465520,2.563182,2.491441,24.914408,0.027858
8192,12,4,80,10,32,0.399676,0.399676,0.399676,0.399676,NaN,4.845368,4.845368,4.845368,4.845368,NaN,4.024627,4.024627,4.024627,4.024627,NaN,5860.000000,122356.000000,82724.313253,6866118.000000,32374.524669,6195.000000,114025.000000,81068.835443,6404438.000000,29120.477776,72960.000000,72960.000000,72960.000000,72960.000000,NaN,63600.000000,63600.000000,63600.000000,63600.000000,NaN,0.141034,0.440668,0.269593,2.695927,0.102426,7.692042,8.361703,8.005959,80.059591,0.209407,2.538075,2.603978,2.564745,25.647455,0.019957
8192,13,4,80,10,32,0.507945,0.507945,0.507945,0.507945,NaN,4.836505,4.836505,4.836505,4.836505,NaN,4.144572,4.144572,4.144572,4.144572,NaN,5861.000000,135132.000000,82556.036145,6852151.000000,33358.368773,6195.000000,126022.000000,81938.189873,6473117.000000,31022.974835,79040.000000,79040.000000,79040.000000,79040.000000,NaN,68900.000000,68900.000000,68900.000000,68900.000000,NaN,0.219557,0.705743,0.327392,3.273922,0.141829,7.518677,7.962886,7.781331,77.813311,0.151371,2.488075,2.570898,2.527663,25.276626,0.021710
8192,14,4,80,10,32,0.468253,0.468253,0.468253,0.468253,NaN,4.863573,4.863573,4.863573,4.863573,NaN,3.957720,3.957720,3.957720,3.957720,NaN,5860.000000,148378.000000,34715.044944,3089639.000000,47987.538322,6196.000000,138491.000000,34090.483146,3034053.000000,45890.086351,85120.000000,85120.000000,85120.000000,85120.000000,NaN,74200.000000,74200.000000,74200.000000,74200.000000,NaN,0.172638,0.429867,0.279670,2.796703,0.086390,7.434332,7.828368,7.626730,76.267298,0.144485,2.487480,2.559576,2.518438,25.184379,0.019947
8192,15,4,80,10,32,0.374902,0.374902,0.374902,0.374902,NaN,4.753682,4.753682,4.753682,4.753682,NaN,4.062966,4.062966,4.062966,4.062966,NaN,5860.000000,162100.000000,67351.670886,5320782.000000,53967.229040,6196.000000,151432.000000,66941.025641,5221400.000000,51688.799814,91200.000000,91200.000000,91200.000000,91200.000000,NaN,79500.000000,79500.000000,79500.000000,79500.000000,NaN,0.220775,0.459450,0.301667,3.016673,0.079259,7.353161,7.935302,7.641272,76.412722,0.179437,2.498016,2.541461,2.518828,25.188282,0.013652
8192,16,4,80,10,32,0.385053,0.385053,0.385053,0.385053,NaN,4.604365,4.604365,4.604365,4.604365,NaN,4.131548,4.131548,4.131548,4.131548,NaN,5860.000000,176290.000000,25830.661871,3590462.000000,42778.344697,6196.000000,164845.000000,25911.224638,3575749.000000,41751.215806,97280.000000,97280.000000,97280.000000,97280.000000,NaN,84800.000000,84800.000000,84800.000000,84800.000000,NaN,0.192465,0.556131,0.309729,3.097289,0.102755,7.397529,7.841797,7.672770,76.727695,0.146005,2.480151,2.549402,2.509356,25.093564,0.022995
