hosts, servers, bf, depth, filter_round, hosts, rounds, ChildrenWait_wall_min, ChildrenWait_wall_max, ChildrenWait_wall_avg, ChildrenWait_wall_dev, ChildrenWait_user_min, ChildrenWait_user_max, ChildrenWait_user_avg, ChildrenWait_user_dev, ChildrenWait_system_min, ChildrenWait_system_max, ChildrenWait_system_avg, ChildrenWait_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev
15, 16, 2, 3, 80, 15, 10, 2.612575, 2.612575, 2.612575, NaN, 0.009667, 0.009667, 0.009667, NaN, 0.000259, 0.000259, 0.000259, NaN, 1.298229, 1.313309, 1.307508, 0.004634, 0.031415, 0.043414, 0.037564, 0.005154, 0.000000, 0.008253, 0.002154, 0.004070
40, 16, 3, 3, 80, 40, 10, 2.013237, 2.013237, 2.013237, NaN, 0.015361, 0.015361, 0.015361, NaN, 0.005288, 0.005288, 0.005288, NaN, 1.311559, 1.315992, 1.313912, 0.001945, 0.048883, 0.073241, 0.060470, 0.010029, 0.000000, 0.012107, 0.004342, 0.003766
85, 16, 4, 3, 80, 85, 10, 2.014345, 2.014345, 2.014345, NaN, 0.040756, 0.040756, 0.040756, NaN, 0.015977, 0.015977, 0.015977, NaN, 1.317569, 1.331784, 1.324924, 0.006709, 0.113550, 0.181354, 0.155060, 0.020634, 0.001121, 0.050288, 0.010517, 0.015366
259, 16, 6, 3, 80, 259, 10, 2.612316, 2.612316, 2.612316, NaN, 0.156206, 0.156206, 0.156206, NaN, 0.016371, 0.016371, 0.016371, NaN, 1.361055, 1.372580, 1.366438, 0.003463, 0.476552, 0.487897, 0.482225, 0.008022, 0.006253, 0.040543, 0.022366, 0.011831
585, 16, 8, 3, 80, 585, 10, 2.217540, 2.217540, 2.217540, NaN, 0.337695, 0.337695, 0.337695, NaN, 0.121973, 0.121973, 0.121973, NaN, 1.442587, 1.465123, 1.455390, 0.007119, 1.095704, 1.294448, 1.195076, 0.140533, 0.061128, 0.101003, 0.073557, 0.018488
1111, 16, 10, 3, 80, 1111, 10, 2.622298, 2.622298, 2.622298, NaN, 0.820383, 0.820383, 0.820383, NaN, 0.124847, 0.124847, 0.124847, NaN, 1.551588, 1.566184, 1.557534, 0.005531, 2.106371, 2.606426, 2.304144, 0.156568, 0.079141, 0.244568, 0.142145, 0.051982
1885, 16, 12, 3, 80, 1885, 10, 2.816342, 2.816342, 2.816342, NaN, 1.245555, 1.245555, 1.245555, NaN, 0.216590, 0.216590, 0.216590, NaN, 1.712218, 1.741716, 1.723442, 0.015963, 3.944763, 4.034088, 3.994311, 0.036908, 0.220429, 0.345663, 0.276536, 0.054460
2955, 16, 14, 3, 80, 2955, 10, 2.684537, 2.684537, 2.684537, NaN, 2.050904, 2.050904, 2.050904, NaN, 0.261032, 0.261032, 0.261032, NaN, 1.878820, 1.908418, 1.895095, 0.011051, 5.857401, 6.194972, 6.023342, 0.122086, 0.234504, 0.446282, 0.329509, 0.091608
4369, 16, 16, 3, 80, 4369, 10, 3.280167, 3.280167, 3.280167, NaN, 3.364831, 3.364831, 3.364831, NaN, 0.412086, 0.412086, 0.412086, NaN, 2.120078, 2.161518, 2.136133, 0.014612, 8.590493, 8.919597, 8.806823, 0.187404, 0.334584, 0.514400, 0.424492, 0.127149
8421, 16, 20, 3, 80, 8421, 10, 4.410988, 4.410988, 4.410988, NaN, 6.582987, 6.582987, 6.582987, NaN, 0.743693, 0.743693, 0.743693, NaN, 4.866321, 4.866321, 4.866321, NaN, 15.498975, 16.013078, 15.778009, 0.192803, 0.487686, 0.732236, 0.609961, 0.172923
14425, 16, 24, 3, 80, 14425, 10, 6.992561, 6.992561, 6.992561, NaN, 12.236755, 12.236755, 12.236755, NaN, 1.224645, 1.224645, 1.224645, NaN, 7.228529, 8.961960, 8.095244, 1.225720, 25.964501, 26.654471, 26.307420, 0.291205, 0.878621, 1.093528, 0.960351, 0.116324
