hosts,bf,depth,filter_round,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
31,2,4,80,10,32,0.007982,0.007982,0.007982,0.007982,NaN,0.006547,0.006547,0.006547,0.006547,NaN,2.616336,2.616336,2.616336,2.616336,NaN,5860.000000,5861.000000,5860.857143,41026.000000,0.377964,6196.000000,6196.000000,6196.000000,24784.000000,0.000000,12160.000000,12160.000000,12160.000000,12160.000000,NaN,10600.000000,10600.000000,10600.000000,10600.000000,NaN,0.000264,0.017030,0.004957,0.049574,0.005219,0.020676,0.048155,0.037736,0.377356,0.008406,1.737471,1.757540,1.746075,17.460751,0.006479
121,3,4,80,10,32,0.017740,0.017740,0.017740,0.017740,NaN,0.032928,0.032928,0.032928,0.032928,NaN,2.617573,2.617573,2.617573,2.617573,NaN,5860.000000,24445.000000,10506.750000,42027.000000,9292.166679,6196.000000,25167.000000,10938.750000,43755.000000,9485.500000,18240.000000,18240.000000,18240.000000,18240.000000,NaN,15900.000000,15900.000000,15900.000000,15900.000000,NaN,0.000000,0.014828,0.005160,0.051602,0.004124,0.103254,0.134784,0.117671,1.176709,0.010082,1.749110,1.768006,1.757199,17.571987,0.005596
341,4,4,80,10,32,0.017379,0.017379,0.017379,0.017379,NaN,0.085744,0.085744,0.085744,0.085744,NaN,3.217129,3.217129,3.217129,3.217129,NaN,5860.000000,30645.000000,14121.583333,169459.000000,12202.059532,6196.000000,31264.000000,14552.000000,174624.000000,12342.629983,24320.000000,24320.000000,24320.000000,24320.000000,NaN,21200.000000,21200.000000,21200.000000,21200.000000,NaN,0.002936,0.029668,0.015325,0.153247,0.009511,0.276760,0.356832,0.311856,3.118558,0.032264,1.777643,1.791892,1.783843,17.838433,0.004374
781,5,4,80,10,32,0.034162,0.034162,0.034162,0.034162,NaN,0.295860,0.295860,0.295860,0.295860,NaN,3.056241,3.056241,3.056241,3.056241,NaN,5860.000000,36840.000000,12314.333333,295544.000000,12850.847449,6196.000000,37361.000000,12688.708333,304529.000000,12928.835061,30400.000000,30400.000000,30400.000000,30400.000000,NaN,26500.000000,26500.000000,26500.000000,26500.000000,NaN,0.012732,0.084704,0.032716,0.327161,0.021498,0.654821,0.911683,0.798912,7.989124,0.092416,1.837157,1.848546,1.843587,18.435872,0.004242
1555,6,4,80,10,32,0.125486,0.125486,0.125486,0.125486,NaN,0.631257,0.631257,0.631257,0.631257,NaN,4.027920,4.027920,4.027920,4.027920,NaN,5860.000000,55606.000000,12317.854167,591257.000000,14691.786681,6196.000000,51954.000000,12578.416667,603764.000000,14469.459741,36480.000000,36480.000000,36480.000000,36480.000000,NaN,31800.000000,31800.000000,31800.000000,31800.000000,NaN,0.053735,0.214797,0.130536,1.305361,0.054848,1.461068,1.794250,1.661727,16.617274,0.126924,1.906049,1.934327,1.919083,19.190827,0.007660
2801,7,4,80,10,32,0.161507,0.161507,0.161507,0.161507,NaN,1.403950,1.403950,1.403950,1.403950,NaN,3.630241,3.630241,3.630241,3.630241,NaN,5860.000000,65556.000000,30656.000000,2728384.000000,24685.121510,6196.000000,61119.000000,30822.275862,2681538.000000,23683.514444,42560.000000,42560.000000,42560.000000,42560.000000,NaN,37100.000000,37100.000000,37100.000000,37100.000000,NaN,0.077838,0.260899,0.159063,1.590626,0.061534,2.691967,3.176708,3.007420,30.074202,0.131757,2.032265,2.057607,2.042425,20.424251,0.009068
4681,8,4,80,10,32,0.310027,0.310027,0.310027,0.310027,NaN,2.736179,2.736179,2.736179,2.736179,NaN,4.034003,4.034003,4.034003,4.034003,NaN,5860.000000,75972.000000,18501.938272,1498657.000000,23337.209129,6196.000000,70757.000000,18688.200000,1495056.000000,22721.653071,48640.000000,48640.000000,48640.000000,48640.000000,NaN,42400.000000,42400.000000,42400.000000,42400.000000,NaN,0.208301,0.480929,0.304772,3.047722,0.081943,4.684427,4.986144,4.809856,48.098562,0.092640,2.200327,2.256916,2.226575,22.265752,0.014734
7381,9,4,80,10,32,0.402862,0.402862,0.402862,0.402862,NaN,4.509477,4.509477,4.509477,4.509477,NaN,4.657621,4.657621,4.657621,4.657621,NaN,5861.000000,86861.000000,70762.621951,5802535.000000,14281.477041,60805.000000,80866.000000,68968.564103,5379548.000000,9284.998312,54720.000000,54720.000000,54720.000000,54720.000000,NaN,47700.000000,47700.000000,47700.000000,47700.000000,NaN,0.207394,0.487372,0.327424,3.274245,0.094416,7.195329,7.553915,7.447472,74.474720,0.109284,2.485171,2.538039,2.500130,25.001299,0.015665
11111,10,4,80,10,32,0.640994,0.640994,0.640994,0.640994,NaN,6.622524,6.622524,6.622524,6.622524,NaN,5.455006,5.455006,5.455006,5.455006,NaN,5860.000000,98220.000000,43428.417722,3430845.000000,35881.957529,6196.000000,91447.000000,43205.282051,3370012.000000,34420.132853,60800.000000,60800.000000,60800.000000,60800.000000,NaN,53000.000000,53000.000000,53000.000000,53000.000000,NaN,0.271074,0.517556,0.393173,3.931728,0.080409,10.610406,11.349644,11.019379,110.193793,0.233716,2.752003,3.258399,2.939735,29.397355,0.180115
16105,11,4,80,10,32,0.820798,0.820798,0.820798,0.820798,NaN,11.208704,11.208704,11.208704,11.208704,NaN,7.916544,7.916544,7.916544,7.916544,NaN,5861.000000,110052.000000,80718.885714,11300644.000000,15771.668963,6196.000000,102500.000000,79143.521429,11080093.000000,13012.627403,66880.000000,66880.000000,66880.000000,66880.000000,NaN,58300.000000,58300.000000,58300.000000,58300.000000,NaN,0.403963,0.600401,0.510832,5.108325,0.063315,15.390012,16.013306,15.747149,157.471495,0.196576,3.689887,5.229185,4.235955,42.359553,0.601840
22621,12,4,80,10,32,1.359826,1.359826,1.359826,1.359826,NaN,19.326551,19.326551,19.326551,19.326551,NaN,12.838686,12.838686,12.838686,12.838686,NaN,5860.000000,122357.000000,30569.304029,8345420.000000,41229.743055,6196.000000,114025.000000,29980.461538,8184666.000000,39295.505576,72960.000000,72960.000000,72960.000000,72960.000000,NaN,63600.000000,63600.000000,63600.000000,63600.000000,NaN,0.661498,0.948802,0.782514,7.825145,0.091687,21.712414,22.586759,22.116374,221.163736,0.279727,4.421434,6.744508,5.579620,55.796198,0.947334
