hosts,bf,depth,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
2,2,1,5,32,0.000827,0.000827,0.000827,0.000827,NaN,0.003514,0.003514,0.003514,0.003514,NaN,0.604861,0.604861,0.604861,0.604861,NaN,1860.000000,1860.000000,1860.000000,1860.000000,NaN,2325.000000,2325.000000,2325.000000,2325.000000,NaN,1530.000000,1530.000000,1530.000000,1530.000000,NaN,1300.000000,1300.000000,1300.000000,1300.000000,NaN,0.000000,0.000924,0.000330,0.001651,0.000457,0.028029,0.038605,0.033420,0.167102,0.003751,0.229164,0.242937,0.235250,1.176248,0.005390
4,3,1,5,32,0.004411,0.004411,0.004411,0.004411,NaN,0.006741,0.006741,0.006741,0.006741,NaN,1.005848,1.005848,1.005848,1.005848,NaN,1860.000000,1860.000000,1860.000000,1860.000000,NaN,2325.000000,2325.000000,2325.000000,2325.000000,NaN,4590.000000,4590.000000,4590.000000,4590.000000,NaN,3900.000000,3900.000000,3900.000000,3900.000000,NaN,0.000000,0.004714,0.001864,0.009321,0.002544,0.060140,0.083802,0.067884,0.339422,0.009549,0.261219,0.278908,0.266726,1.333629,0.007092
8,7,1,5,32,0.003048,0.003048,0.003048,0.003048,NaN,0.027283,0.027283,0.027283,0.027283,NaN,0.607212,0.607212,0.607212,0.607212,NaN,1860.000000,1860.000000,1860.000000,1860.000000,NaN,2325.000000,2325.000000,2325.000000,2325.000000,NaN,10710.000000,10710.000000,10710.000000,10710.000000,NaN,9100.000000,9100.000000,9100.000000,9100.000000,NaN,0.000000,0.003524,0.001193,0.005965,0.001397,0.102102,0.150113,0.124287,0.621433,0.017771,0.292891,0.331046,0.312518,1.562592,0.013896
16,15,1,5,32,0.008133,0.008133,0.008133,0.008133,NaN,0.031606,0.031606,0.031606,0.031606,NaN,1.006588,1.006588,1.006588,1.006588,NaN,1860.000000,1860.000000,1860.000000,1860.000000,NaN,2325.000000,2325.000000,2325.000000,2325.000000,NaN,22950.000000,22950.000000,22950.000000,22950.000000,NaN,19500.000000,19500.000000,19500.000000,19500.000000,NaN,0.000286,0.024228,0.008568,0.042842,0.010291,0.244927,0.280308,0.265081,1.325405,0.014150,0.417960,0.430240,0.424043,2.120217,0.004343
32,31,1,5,32,0.025050,0.025050,0.025050,0.025050,NaN,0.104538,0.104538,0.104538,0.104538,NaN,1.012471,1.012471,1.012471,1.012471,NaN,1860.000000,1860.000000,1860.000000,1860.000000,NaN,2325.000000,2325.000000,2325.000000,2325.000000,NaN,47430.000000,47430.000000,47430.000000,47430.000000,NaN,40300.000000,40300.000000,40300.000000,40300.000000,NaN,0.019735,0.037014,0.028759,0.143793,0.007967,0.492138,0.580122,0.535164,2.675820,0.037406,0.614518,0.662580,0.644323,3.221613,0.021034
64,63,1,5,32,0.054887,0.054887,0.054887,0.054887,NaN,0.228351,0.228351,0.228351,0.228351,NaN,2.622519,2.622519,2.622519,2.622519,NaN,2099.000000,2184.000000,2101.931034,60956.000000,15.784104,2799.000000,2884.000000,2802.814815,75676.000000,16.231586,96390.000000,96390.000000,96390.000000,96390.000000,NaN,81900.000000,81900.000000,81900.000000,81900.000000,NaN,0.045279,0.089222,0.062400,0.311998,0.021529,1.279239,1.411924,1.361477,6.807386,0.056036,1.119508,1.191474,1.165246,5.826232,0.026982
128,127,1,5,32,0.067433,0.067433,0.067433,0.067433,NaN,0.508306,0.508306,0.508306,0.508306,NaN,1.815173,1.815173,1.815173,1.815173,NaN,1860.000000,1860.000000,1860.000000,50220.000000,0.000000,2325.000000,2326.000000,2325.703704,62794.000000,0.465322,194310.000000,194310.000000,194310.000000,194310.000000,NaN,165100.000000,165100.000000,165100.000000,165100.000000,NaN,0.066592,0.181396,0.120706,0.603530,0.052029,3.521859,3.594288,3.555564,17.777820,0.031590,2.212274,2.274372,2.236418,11.182092,0.026485
256,255,1,5,32,0.180578,0.180578,0.180578,0.180578,NaN,0.939462,0.939462,0.939462,0.939462,NaN,1.910763,1.910763,1.910763,1.910763,NaN,1860.000000,1860.000000,1860.000000,52080.000000,0.000000,2325.000000,2326.000000,2325.653846,60467.000000,0.485165,390150.000000,390150.000000,390150.000000,390150.000000,NaN,331500.000000,331500.000000,331500.000000,331500.000000,NaN,0.258264,0.372197,0.300703,1.503516,0.044444,9.964982,10.195448,10.077628,50.388140,0.086244,4.318121,4.361191,4.336423,21.682114,0.018863
512,511,1,5,32,0.227979,0.227979,0.227979,0.227979,NaN,2.029348,2.029348,2.029348,2.029348,NaN,1.678297,1.678297,1.678297,1.678297,NaN,1860.000000,1860.000000,1860.000000,872340.000000,0.000000,2325.000000,2326.000000,2325.735608,1090770.000000,0.441480,781830.000000,781830.000000,781830.000000,781830.000000,NaN,664300.000000,664300.000000,664300.000000,664300.000000,NaN,0.357261,0.550710,0.451065,2.255326,0.071254,22.117143,23.069687,22.605514,113.027569,0.360782,9.948939,11.049649,10.611336,53.056679,0.453038
1024,1023,1,5,32,0.509926,0.509926,0.509926,0.509926,NaN,4.148990,4.148990,4.148990,4.148990,NaN,3.159174,3.159174,3.159174,3.159174,NaN,1860.000000,1860.000000,1860.000000,961620.000000,0.000000,2325.000000,2326.000000,2325.735409,1195428.000000,0.441545,1565190.000000,1565190.000000,1565190.000000,1565190.000000,NaN,1329900.000000,1329900.000000,1329900.000000,1329900.000000,NaN,0.682273,1.160419,0.864610,4.323048,0.177320,46.189840,47.829727,46.820757,234.103784,0.672958,15.802007,17.760323,16.569986,82.849932,0.829966
