hosts,bf,checking,depth,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
15,2,0,3,10,32,0.000000,0.000000,0.000000,0.000000,NaN,0.016905,0.016905,0.016905,0.016905,NaN,1.818240,1.818240,1.818240,1.818240,NaN,15100.000000,15100.000000,15100.000000,15100.000000,NaN,5180.000000,5180.000000,5180.000000,5180.000000,NaN,3150.000000,3150.000000,3150.000000,3150.000000,NaN,3895.000000,3895.000000,3895.000000,3895.000000,NaN,0.000000,0.008279,0.002128,0.021279,0.002789,0.007762,0.017734,0.013118,0.131179,0.003714,0.642094,0.651337,0.646439,6.464387,0.002938
40,3,0,3,10,32,0.004305,0.004305,0.004305,0.004305,NaN,0.016715,0.016715,0.016715,0.016715,NaN,2.014078,2.014078,2.014078,2.014078,NaN,35970.000000,35970.000000,35970.000000,35970.000000,NaN,7770.000000,7770.000000,7770.000000,7770.000000,NaN,3150.000000,3150.000000,3150.000000,3150.000000,NaN,3896.000000,3896.000000,3896.000000,3896.000000,NaN,0.000000,0.009109,0.002392,0.023921,0.003233,0.018593,0.033826,0.026952,0.269518,0.004308,0.643785,0.652232,0.647823,6.478229,0.002398
85,4,0,3,10,32,0.011263,0.011263,0.011263,0.011263,NaN,0.042303,0.042303,0.042303,0.042303,NaN,2.613615,2.613615,2.613615,2.613615,NaN,71850.000000,71850.000000,71850.000000,71850.000000,NaN,10360.000000,10360.000000,10360.000000,10360.000000,NaN,3474.000000,3476.000000,3475.000000,6950.000000,1.414214,4456.000000,4456.000000,4456.000000,8912.000000,0.000000,0.000000,0.007729,0.002380,0.023798,0.002839,0.030317,0.049714,0.041564,0.415644,0.007031,0.646445,0.655327,0.650458,6.504585,0.002783
156,5,0,3,10,32,0.013678,0.013678,0.013678,0.013678,NaN,0.031688,0.031688,0.031688,0.031688,NaN,2.017222,2.017222,2.017222,2.017222,NaN,127470.000000,127470.000000,127470.000000,127470.000000,NaN,12950.000000,12950.000000,12950.000000,12950.000000,NaN,3150.000000,3151.000000,3150.750000,12603.000000,0.500000,3896.000000,3906.000000,3901.000000,15604.000000,5.773503,0.000000,0.014172,0.003847,0.038467,0.005304,0.060484,0.104131,0.082630,0.826302,0.011610,0.650484,0.661470,0.655785,6.557847,0.003500
259,6,0,3,10,32,0.033455,0.033455,0.033455,0.033455,NaN,0.094713,0.094713,0.094713,0.094713,NaN,2.415569,2.415569,2.415569,2.415569,NaN,207090.000000,207090.000000,207090.000000,207090.000000,NaN,15540.000000,15540.000000,15540.000000,15540.000000,NaN,3150.000000,26586.000000,6080.250000,48642.000000,8285.574224,3896.000000,28728.000000,7007.500000,56060.000000,8776.408035,0.000000,0.035413,0.012629,0.126287,0.012116,0.117487,0.158552,0.141214,1.412141,0.015654,0.656382,0.664388,0.660289,6.602893,0.002281
400,7,0,3,10,32,0.038097,0.038097,0.038097,0.038097,NaN,0.110319,0.110319,0.110319,0.110319,NaN,2.614316,2.614316,2.614316,2.614316,NaN,315210.000000,315210.000000,315210.000000,315210.000000,NaN,18130.000000,18130.000000,18130.000000,18130.000000,NaN,3150.000000,30492.000000,11191.823529,190261.000000,12840.697879,3896.000000,32865.000000,11549.066667,173236.000000,13123.852230,0.000614,0.025294,0.012277,0.122766,0.009531,0.197149,0.302184,0.237467,2.374674,0.028782,0.668197,0.674724,0.671835,6.718348,0.002504
585,8,0,3,10,32,0.041913,0.041913,0.041913,0.041913,NaN,0.272129,0.272129,0.272129,0.272129,NaN,2.618086,2.618086,2.618086,2.618086,NaN,456330.000000,456330.000000,456330.000000,456330.000000,NaN,20720.000000,20720.000000,20720.000000,20720.000000,NaN,3150.000000,34398.000000,10589.761905,222385.000000,13635.934119,3906.000000,37002.000000,11786.000000,247506.000000,14444.278591,0.003661,0.051333,0.021092,0.210916,0.017137,0.316276,0.515552,0.393828,3.938284,0.065083,0.690916,0.705524,0.697441,6.974412,0.004860
1111,10,0,3,10,32,0.042325,0.042325,0.042325,0.042325,NaN,0.580417,0.580417,0.580417,0.580417,NaN,2.619834,2.619834,2.619834,2.619834,NaN,855570.000000,855570.000000,855570.000000,855570.000000,NaN,25900.000000,25900.000000,25900.000000,25900.000000,NaN,3150.000000,42211.000000,18467.235294,941829.000000,19258.665890,3906.000000,45286.000000,19094.122449,935612.000000,20138.562765,0.009264,0.109044,0.060068,0.600684,0.037037,0.798760,1.036168,0.890357,8.903566,0.070737,0.742013,0.755717,0.748381,7.483805,0.004167
1885,12,0,3,10,32,0.097885,0.097885,0.097885,0.097885,NaN,0.987199,0.987199,0.987199,0.987199,NaN,2.627610,2.627610,2.627610,2.627610,NaN,1440810.000000,1440810.000000,1440810.000000,1440810.000000,NaN,31080.000000,31080.000000,31080.000000,31080.000000,NaN,3151.000000,50023.000000,45085.342105,3426486.000000,14478.932621,3906.000000,53560.000000,50434.818182,3328698.000000,11913.690054,0.000771,0.104959,0.054465,0.544654,0.035184,1.234988,1.658102,1.501258,15.012577,0.112079,0.804053,0.822820,0.813035,8.130350,0.006549
2955,14,0,3,10,32,0.205724,0.205724,0.205724,0.205724,NaN,1.622304,1.622304,1.622304,1.622304,NaN,4.026160,4.026160,4.026160,4.026160,NaN,2248050.000000,2248050.000000,2248050.000000,2248050.000000,NaN,36260.000000,36260.000000,36260.000000,36260.000000,NaN,3150.000000,57835.000000,25268.584270,2248904.000000,26988.755543,3906.000000,61834.000000,27145.793103,2361684.000000,28492.873758,0.046212,0.221800,0.137086,1.370858,0.053542,2.304176,2.521938,2.417415,24.174154,0.069572,1.096114,1.129542,1.110312,11.103118,0.010617
