hosts,bf,checking,depth,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
15,2,1,3,10,32,0.007715,0.007715,0.007715,0.007715,NaN,0.007784,0.007784,0.007784,0.007784,NaN,1.816532,1.816532,1.816532,1.816532,NaN,15100.000000,15100.000000,15100.000000,15100.000000,NaN,5180.000000,5180.000000,5180.000000,5180.000000,NaN,3150.000000,3150.000000,3150.000000,3150.000000,NaN,3895.000000,3895.000000,3895.000000,3895.000000,NaN,0.000000,0.004424,0.000931,0.009308,0.001357,0.038708,0.056090,0.048990,0.489897,0.005130,0.728737,0.748055,0.736782,7.367821,0.006529
40,3,1,3,10,32,0.004760,0.004760,0.004760,0.004760,NaN,0.030550,0.030550,0.030550,0.030550,NaN,2.814713,2.814713,2.814713,2.814713,NaN,35970.000000,35970.000000,35970.000000,35970.000000,NaN,7770.000000,7770.000000,7770.000000,7770.000000,NaN,3474.000000,3474.000000,3474.000000,3474.000000,NaN,4456.000000,4456.000000,4456.000000,4456.000000,NaN,0.000000,0.032513,0.005366,0.053657,0.009787,0.054636,0.093721,0.074017,0.740174,0.010167,0.775252,0.805607,0.785413,7.854127,0.009022
85,4,1,3,10,32,0.008816,0.008816,0.008816,0.008816,NaN,0.034639,0.034639,0.034639,0.034639,NaN,2.613022,2.613022,2.613022,2.613022,NaN,71850.000000,71850.000000,71850.000000,71850.000000,NaN,10360.000000,10360.000000,10360.000000,10360.000000,NaN,3474.000000,3476.000000,3474.666667,10424.000000,1.154701,4456.000000,4456.000000,4456.000000,13368.000000,0.000000,0.000000,0.014538,0.005805,0.058053,0.004484,0.090848,0.122340,0.104487,1.044867,0.010355,0.821660,0.846347,0.828538,8.285378,0.008888
156,5,1,3,10,32,0.000282,0.000282,0.000282,0.000282,NaN,0.027179,0.027179,0.027179,0.027179,NaN,2.013835,2.013835,2.013835,2.013835,NaN,127470.000000,127470.000000,127470.000000,127470.000000,NaN,12950.000000,12950.000000,12950.000000,12950.000000,NaN,3150.000000,3151.000000,3150.750000,12603.000000,0.500000,3896.000000,3906.000000,3901.000000,15604.000000,5.773503,0.000000,0.019868,0.005848,0.058480,0.006478,0.126989,0.186270,0.146293,1.462929,0.016691,0.873120,0.891076,0.881857,8.818572,0.005932
259,6,1,3,10,32,0.017225,0.017225,0.017225,0.017225,NaN,0.096273,0.096273,0.096273,0.096273,NaN,2.213042,2.213042,2.213042,2.213042,NaN,207090.000000,207090.000000,207090.000000,207090.000000,NaN,15540.000000,15540.000000,15540.000000,15540.000000,NaN,3150.000000,26586.000000,9002.000000,72016.000000,10834.575897,3905.000000,28721.000000,10101.500000,80812.000000,11473.699702,0.000000,0.060651,0.018484,0.184840,0.018662,0.315998,0.450278,0.360793,3.607929,0.035615,0.955015,1.032114,0.976421,9.764207,0.023524
400,7,1,3,10,32,0.033558,0.033558,0.033558,0.033558,NaN,0.147391,0.147391,0.147391,0.147391,NaN,2.613851,2.613851,2.613851,2.613851,NaN,315210.000000,315210.000000,315210.000000,315210.000000,NaN,18130.000000,18130.000000,18130.000000,18130.000000,NaN,3150.000000,30485.000000,5428.583333,65143.000000,7890.724871,3896.000000,32865.000000,6318.416667,75821.000000,8360.006149,0.000000,0.061880,0.019497,0.194967,0.017591,0.474724,0.630190,0.544373,5.443733,0.045717,1.040106,1.094208,1.070750,10.707497,0.015585
585,8,1,3,10,32,0.053154,0.053154,0.053154,0.053154,NaN,0.255739,0.255739,0.255739,0.255739,NaN,2.617728,2.617728,2.617728,2.617728,NaN,456330.000000,456330.000000,456330.000000,456330.000000,NaN,20720.000000,20720.000000,20720.000000,20720.000000,NaN,3150.000000,34398.000000,8084.526316,153606.000000,11706.292407,3906.000000,37002.000000,9131.684211,173502.000000,12398.897608,0.016330,0.097904,0.059706,0.597058,0.029176,0.956628,1.272526,1.150966,11.509659,0.112333,1.160130,1.197024,1.179444,11.794439,0.011997
1111,10,1,3,10,32,0.076075,0.076075,0.076075,0.076075,NaN,0.548701,0.548701,0.548701,0.548701,NaN,2.633121,2.633121,2.633121,2.633121,NaN,855570.000000,855570.000000,855570.000000,855570.000000,NaN,25900.000000,25900.000000,25900.000000,25900.000000,NaN,3150.000000,42210.000000,8428.378378,311850.000000,13535.708021,3906.000000,45286.000000,9496.810811,351382.000000,14338.852499,0.038018,0.168425,0.086278,0.862780,0.043180,1.760976,2.425276,2.250630,22.506299,0.201703,1.330369,1.382511,1.354737,13.547366,0.018716
1885,12,1,3,10,32,0.129830,0.129830,0.129830,0.129830,NaN,0.895370,0.895370,0.895370,0.895370,NaN,2.631218,2.631218,2.631218,2.631218,NaN,1440810.000000,1440810.000000,1440810.000000,1440810.000000,NaN,31080.000000,31080.000000,31080.000000,31080.000000,NaN,3150.000000,50023.000000,12800.250000,870417.000000,19092.200168,3906.000000,53560.000000,14120.323529,960182.000000,20209.718524,0.090770,0.244921,0.130145,1.301448,0.057716,3.935487,4.257581,4.086569,40.865695,0.097510,1.505593,1.563261,1.544549,15.445494,0.016058
2955,14,1,3,10,32,0.159283,0.159283,0.159283,0.159283,NaN,1.511415,1.511415,1.511415,1.511415,NaN,2.647610,2.647610,2.647610,2.647610,NaN,2248050.000000,2248050.000000,2248050.000000,2248050.000000,NaN,36260.000000,36260.000000,36260.000000,36260.000000,NaN,3150.000000,57835.000000,38656.207792,2976528.000000,26262.174248,3906.000000,61834.000000,40957.706667,3071828.000000,27976.172177,0.061269,0.241884,0.149555,1.495552,0.052811,5.546170,6.063890,5.739323,57.393226,0.159266,1.954690,2.029646,1.991038,19.910376,0.027250
