hosts,bf,depth,filter_round,rounds,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev
8,2,3,80,10,32,0.000626,0.000626,0.000626,0.000626,NaN,0.010350,0.010350,0.010350,0.010350,NaN,1.813630,1.813630,1.813630,1.813630,NaN,5860.000000,5860.000000,5860.000000,5860.000000,NaN,6195.000000,6195.000000,6195.000000,6195.000000,NaN,12160.000000,12160.000000,12160.000000,12160.000000,NaN,10600.000000,10600.000000,10600.000000,10600.000000,NaN,0.000000,0.019762,0.002549,0.025488,0.006155,0.018429,0.039930,0.033471,0.334706,0.006718,1.290060,1.314311,1.299196,12.991957,0.007339
16,3,3,80,10,32,0.000612,0.000612,0.000612,0.000612,NaN,0.013962,0.013962,0.013962,0.013962,NaN,2.211901,2.211901,2.211901,2.211901,NaN,5860.000000,5860.000000,5860.000000,5860.000000,NaN,6196.000000,6196.000000,6196.000000,6196.000000,NaN,18240.000000,18240.000000,18240.000000,18240.000000,NaN,15900.000000,15900.000000,15900.000000,15900.000000,NaN,0.000000,0.007389,0.002619,0.026187,0.002776,0.038881,0.045555,0.042825,0.428254,0.002584,1.303549,1.315505,1.308322,13.083222,0.003398
32,3,3,80,10,32,0.008296,0.008296,0.008296,0.008296,NaN,0.008926,0.008926,0.008926,0.008926,NaN,2.214336,2.214336,2.214336,2.214336,NaN,5860.000000,5860.000000,5860.000000,5860.000000,NaN,6196.000000,6196.000000,6196.000000,6196.000000,NaN,18240.000000,18240.000000,18240.000000,18240.000000,NaN,15900.000000,15900.000000,15900.000000,15900.000000,NaN,0.000000,0.011626,0.004548,0.045482,0.004908,0.033498,0.048367,0.041834,0.418342,0.005579,1.306038,1.325802,1.317911,13.179106,0.005297
64,4,3,80,10,32,0.024231,0.024231,0.024231,0.024231,NaN,0.014109,0.014109,0.014109,0.014109,NaN,2.614393,2.614393,2.614393,2.614393,NaN,6184.000000,6186.000000,6184.444444,55660.000000,0.881917,6756.000000,6756.000000,6756.000000,54048.000000,0.000000,24320.000000,24320.000000,24320.000000,24320.000000,NaN,21200.000000,21200.000000,21200.000000,21200.000000,NaN,0.000000,0.012109,0.003662,0.036619,0.005076,0.044194,0.073630,0.058981,0.589808,0.009295,1.314329,1.326306,1.319476,13.194763,0.003975
128,5,3,80,10,32,0.006838,0.006838,0.006838,0.006838,NaN,0.043299,0.043299,0.043299,0.043299,NaN,2.416783,2.416783,2.416783,2.416783,NaN,5860.000000,5861.000000,5860.705882,99632.000000,0.469668,6196.000000,6196.000000,6196.000000,99136.000000,0.000000,30400.000000,30400.000000,30400.000000,30400.000000,NaN,26500.000000,26500.000000,26500.000000,26500.000000,NaN,0.000000,0.004156,0.001979,0.019792,0.001743,0.072964,0.120375,0.085623,0.856230,0.014404,1.319658,1.328965,1.323965,13.239651,0.002765
256,6,3,80,10,32,0.014470,0.014470,0.014470,0.014470,NaN,0.106619,0.106619,0.106619,0.106619,NaN,2.615816,2.615816,2.615816,2.615816,NaN,5860.000000,43036.000000,13433.333333,120900.000000,15106.360333,6196.000000,43458.000000,13719.666667,123477.000000,15026.102306,36480.000000,36480.000000,36480.000000,36480.000000,NaN,31800.000000,31800.000000,31800.000000,31800.000000,NaN,0.000000,0.026740,0.012250,0.122497,0.008133,0.182982,0.233440,0.211498,2.114983,0.016804,1.338345,1.347925,1.341520,13.415198,0.003075
512,8,3,80,10,32,0.031745,0.031745,0.031745,0.031745,NaN,0.235676,0.235676,0.235676,0.235676,NaN,3.218637,3.218637,3.218637,3.218637,NaN,5860.000000,55428.000000,29849.192308,2328237.000000,24809.894752,6196.000000,55652.000000,28783.415385,1870922.000000,24634.114647,48640.000000,48640.000000,48640.000000,48640.000000,NaN,42400.000000,42400.000000,42400.000000,42400.000000,NaN,0.013158,0.067728,0.031603,0.316032,0.016148,0.425201,0.601214,0.519054,5.190544,0.063627,1.372775,1.385972,1.378935,13.789353,0.005001
1024,10,3,80,10,32,0.059525,0.059525,0.059525,0.059525,NaN,0.414022,0.414022,0.414022,0.414022,NaN,3.021641,3.021641,3.021641,3.021641,NaN,5860.000000,67820.000000,29501.750000,2242133.000000,30296.388680,6196.000000,67846.000000,31017.416667,2233254.000000,30436.851819,60800.000000,60800.000000,60800.000000,60800.000000,NaN,53000.000000,53000.000000,53000.000000,53000.000000,NaN,0.016128,0.105552,0.054144,0.541442,0.026947,0.736230,1.182470,0.976412,9.764119,0.149387,1.426600,1.444108,1.435327,14.353267,0.005434
2048,13,3,80,10,32,0.119505,0.119505,0.119505,0.119505,NaN,1.029635,1.029635,1.029635,1.029635,NaN,2.826962,2.826962,2.826962,2.826962,NaN,5860.000000,86408.000000,51406.513514,3804082.000000,40052.626319,6196.000000,86137.000000,50000.289855,3450020.000000,39881.336412,79040.000000,79040.000000,79040.000000,79040.000000,NaN,68900.000000,68900.000000,68900.000000,68900.000000,NaN,0.043398,0.270852,0.135534,1.355337,0.074029,1.964995,2.256972,2.089865,20.898646,0.098529,1.525125,1.548565,1.534517,15.345167,0.006957
4369,16,3,80,10,32,0.159132,0.159132,0.159132,0.159132,NaN,1.994622,1.994622,1.994622,1.994622,NaN,2.679084,2.679084,2.679084,2.679084,NaN,5860.000000,104996.000000,56053.037975,4428190.000000,49877.606125,6196.000000,104428.000000,56544.153846,4410444.000000,49391.313297,97280.000000,97280.000000,97280.000000,97280.000000,NaN,84800.000000,84800.000000,84800.000000,84800.000000,NaN,0.138161,0.443648,0.232746,2.327465,0.088195,3.998765,4.315624,4.174107,41.741067,0.114992,1.741713,1.778300,1.759118,17.591180,0.011035
