hosts,bf,closewait,delay,depth,groupsize,rounds,runwait,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev,setup_system_min,setup_system_max,setup_system_avg,setup_system_sum,setup_system_dev,setup_user_min,setup_user_max,setup_user_avg,setup_user_sum,setup_user_dev,setup_wall_min,setup_wall_max,setup_wall_avg,setup_wall_sum,setup_wall_dev
128,2,3600,100,7,16,1,3600,4,0.049731,0.049731,0.049731,0.049731,NaN,0.149137,0.149137,0.149137,0.149137,NaN,2.819801,2.819801,2.819801,2.819801,NaN,86544.000000,86544.000000,86544.000000,86544.000000,NaN,133789.000000,133789.000000,133789.000000,133789.000000,NaN,72845.000000,98551.000000,77288.240000,9661030.000000,4509.773579,71033.000000,150331.000000,77090.912000,9636364.000000,13889.956110,0.070791,0.070791,0.070791,0.070791,NaN,6.096479,6.096479,6.096479,6.096479,NaN,1.712257,1.712257,1.712257,1.712257,NaN,0.300726,0.300726,0.300726,0.300726,NaN,5.795256,5.795256,5.795256,5.795256,NaN,5.136462,5.136462,5.136462,5.136462,NaN
128,2,3600,100,7,32,1,3600,4,0.055702,0.055702,0.055702,0.055702,NaN,0.149002,0.149002,0.149002,0.149002,NaN,2.817019,2.817019,2.817019,2.817019,NaN,260772.000000,260772.000000,260772.000000,260772.000000,NaN,389617.000000,389617.000000,389617.000000,389617.000000,NaN,244393.000000,270732.000000,250872.552000,31359069.000000,4492.331050,240893.000000,427506.000000,249751.384000,31218923.000000,29022.532461,0.236032,0.236032,0.236032,0.236032,NaN,22.210675,22.210675,22.210675,22.210675,NaN,2.725361,2.725361,2.725361,2.725361,NaN,0.513371,0.513371,0.513371,0.513371,NaN,14.525629,14.525629,14.525629,14.525629,NaN,10.139727,10.139727,10.139727,10.139727,NaN
128,2,3600,100,7,48,1,3600,4,0.066153,0.066153,0.066153,0.066153,NaN,0.143693,0.143693,0.143693,0.143693,NaN,2.817438,2.817438,2.817438,2.817438,NaN,903331.000000,903331.000000,903331.000000,903331.000000,NaN,1329938.000000,1329938.000000,1329938.000000,1329938.000000,NaN,883156.000000,912474.000000,893026.688000,111628336.000000,4925.120150,874888.000000,1527429.000000,888557.184000,111069648.000000,66423.122396,0.687093,0.687093,0.687093,0.687093,NaN,65.675355,65.675355,65.675355,65.675355,NaN,5.845908,5.845908,5.845908,5.845908,NaN,0.925918,0.925918,0.925918,0.925918,NaN,46.504695,46.504695,46.504695,46.504695,NaN,20.017715,20.017715,20.017715,20.017715,NaN
128,2,3600,100,7,64,1,3600,4,0.073363,0.073363,0.073363,0.073363,NaN,0.132444,0.132444,0.132444,0.132444,NaN,2.816563,2.816563,2.816563,2.816563,NaN,903331.000000,903331.000000,903331.000000,903331.000000,NaN,1329938.000000,1329938.000000,1329938.000000,1329938.000000,NaN,884130.000000,912474.000000,894167.168000,111770896.000000,5708.727740,875070.000000,1527429.000000,889690.656000,111211332.000000,66534.989381,0.689023,0.689023,0.689023,0.689023,NaN,67.082739,67.082739,67.082739,67.082739,NaN,5.911484,5.911484,5.911484,5.911484,NaN,1.274199,1.274199,1.274199,1.274199,NaN,48.700571,48.700571,48.700571,48.700571,NaN,20.127267,20.127267,20.127267,20.127267,NaN
256,2,3600,100,8,16,1,3600,4,0.106303,0.106303,0.106303,0.106303,NaN,0.368437,0.368437,0.368437,0.368437,NaN,3.419896,3.419896,3.419896,3.419896,NaN,96696.000000,96696.000000,96696.000000,96696.000000,NaN,155991.000000,155991.000000,155991.000000,155991.000000,NaN,72663.000000,119400.000000,78359.063241,19824843.000000,7501.920480,71033.000000,182281.000000,78354.750988,19823752.000000,17743.534284,0.263877,0.263877,0.263877,0.263877,NaN,12.288649,12.288649,12.288649,12.288649,NaN,1.859547,1.859547,1.859547,1.859547,NaN,0.466687,0.466687,0.466687,0.466687,NaN,11.221304,11.221304,11.221304,11.221304,NaN,5.289144,5.289144,5.289144,5.289144,NaN
256,2,3600,100,8,32,1,3600,4,0.121520,0.121520,0.121520,0.121520,NaN,0.352490,0.352490,0.352490,0.352490,NaN,3.418106,3.418106,3.418106,3.418106,NaN,270776.000000,270776.000000,270776.000000,270776.000000,NaN,410575.000000,410575.000000,410575.000000,410575.000000,NaN,243938.000000,286888.000000,251943.988142,63741829.000000,6537.975706,240745.000000,465943.000000,251492.181818,63627522.000000,33002.502041,0.497042,0.497042,0.497042,0.497042,NaN,47.698172,47.698172,47.698172,47.698172,NaN,3.241383,3.241383,3.241383,3.241383,NaN,1.117141,1.117141,1.117141,1.117141,NaN,31.102258,31.102258,31.102258,31.102258,NaN,10.276312,10.276312,10.276312,10.276312,NaN
256,2,3600,100,8,48,1,3600,4,0.116792,0.116792,0.116792,0.116792,NaN,0.364407,0.364407,0.364407,0.364407,NaN,3.229965,3.229965,3.229965,3.229965,NaN,605425.000000,605425.000000,605425.000000,605425.000000,NaN,905606.000000,905606.000000,905606.000000,905606.000000,NaN,574808.000000,631984.000000,590741.892857,148866957.000000,10591.313620,570043.000000,993908.000000,589161.071429,148468590.000000,58513.784151,1.292744,1.292744,1.292744,1.292744,NaN,110.356359,110.356359,110.356359,110.356359,NaN,6.599432,6.599432,6.599432,6.599432,NaN,1.462725,1.462725,1.462725,1.462725,NaN,63.586742,63.586742,63.586742,63.586742,NaN,18.821528,18.821528,18.821528,18.821528,NaN
256,2,3600,100,8,64,1,3600,4,0.105311,0.105311,0.105311,0.105311,NaN,0.376237,0.376237,0.376237,0.376237,NaN,3.415784,3.415784,3.415784,3.415784,NaN,914292.000000,914292.000000,914292.000000,914292.000000,NaN,1361619.000000,1361619.000000,1361619.000000,1361619.000000,NaN,884039.000000,928332.000000,894866.496032,225506357.000000,7670.234184,874797.000000,1508943.000000,892309.742063,224862055.000000,77432.278616,1.654909,1.654909,1.654909,1.654909,NaN,170.540675,170.540675,170.540675,170.540675,NaN,7.783068,7.783068,7.783068,7.783068,NaN,2.267744,2.267744,2.267744,2.267744,NaN,99.580297,99.580297,99.580297,99.580297,NaN,20.713428,20.713428,20.713428,20.713428,NaN
384,2,3600,100,8,16,1,3600,4,0.143801,0.143801,0.143801,0.143801,NaN,0.733056,0.733056,0.733056,0.733056,NaN,3.818656,3.818656,3.818656,3.818656,NaN,106758.000000,106758.000000,106758.000000,106758.000000,NaN,167905.000000,167905.000000,167905.000000,167905.000000,NaN,72754.000000,135579.000000,79304.338583,30214953.000000,10296.617623,71033.000000,208979.000000,79387.057743,30246469.000000,20952.208935,0.361175,0.361175,0.361175,0.361175,NaN,20.415112,20.415112,20.415112,20.415112,NaN,1.924635,1.924635,1.924635,1.924635,NaN,1.017720,1.017720,1.017720,1.017720,NaN,16.912834,16.912834,16.912834,16.912834,NaN,5.515836,5.515836,5.515836,5.515836,NaN
384,2,3600,100,8,32,1,3600,4,0.160789,0.160789,0.160789,0.160789,NaN,0.672674,0.672674,0.672674,0.672674,NaN,3.819048,3.819048,3.819048,3.819048,NaN,280780.000000,280780.000000,280780.000000,280780.000000,NaN,431533.000000,431533.000000,431533.000000,431533.000000,NaN,244302.000000,302233.000000,252516.115486,96208640.000000,8442.685575,240768.000000,491082.000000,252283.921260,96120174.000000,35428.219259,0.779098,0.779098,0.779098,0.779098,NaN,73.714558,73.714558,73.714558,73.714558,NaN,4.185647,4.185647,4.185647,4.185647,NaN,1.400293,1.400293,1.400293,1.400293,NaN,47.902741,47.902741,47.902741,47.902741,NaN,10.359112,10.359112,10.359112,10.359112,NaN
