hosts,bf,closewait,delay,depth,groupsize,rounds,runwait,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev,setup_system_min,setup_system_max,setup_system_avg,setup_system_sum,setup_system_dev,setup_user_min,setup_user_max,setup_user_avg,setup_user_sum,setup_user_dev,setup_wall_min,setup_wall_max,setup_wall_avg,setup_wall_sum,setup_wall_dev
128,2,3600,100,7,16,2,3600,32,0.012930,0.012930,0.012930,0.012930,NaN,0.019873,0.019873,0.019873,0.019873,NaN,3.037812,3.037812,3.037812,3.037812,NaN,128314.000000,128314.000000,128314.000000,128314.000000,NaN,180707.000000,180707.000000,180707.000000,180707.000000,NaN,108728.000000,136863.000000,110815.208333,10638260.000000,5578.132442,106322.000000,188572.000000,110799.770833,10636778.000000,14823.318865,0.019538,0.025248,0.022393,0.044786,0.004038,1.543538,1.639487,1.591513,3.183025,0.067846,1.664791,1.695326,1.680058,3.360117,0.021591,0.024165,0.024165,0.024165,0.024165,NaN,0.960649,0.960649,0.960649,0.960649,NaN,8.727622,8.727622,8.727622,8.727622,NaN
128,2,3600,100,7,24,2,3600,32,0.010260,0.010260,0.010260,0.010260,NaN,0.045459,0.045459,0.045459,0.045459,NaN,6.236678,6.236678,6.236678,6.236678,NaN,259297.000000,259297.000000,259297.000000,259297.000000,NaN,367756.000000,367756.000000,367756.000000,367756.000000,NaN,234544.000000,315576.000000,252277.687500,24218658.000000,23708.874296,231968.000000,426860.000000,251806.729167,24173446.000000,32869.690103,0.015720,0.020323,0.018021,0.036043,0.003255,1.858057,2.084802,1.971430,3.942859,0.160333,2.334620,2.365501,2.350061,4.700121,0.021836,0.045795,0.045795,0.045795,0.045795,NaN,1.566043,1.566043,1.566043,1.566043,NaN,13.759415,13.759415,13.759415,13.759415,NaN
128,2,3600,100,7,32,2,3600,32,0.006910,0.006910,0.006910,0.006910,NaN,0.021786,0.021786,0.021786,0.021786,NaN,3.039001,3.039001,3.039001,3.039001,NaN,393478.000000,393478.000000,393478.000000,393478.000000,NaN,562927.000000,562927.000000,562927.000000,562927.000000,NaN,365766.000000,399792.000000,367562.762887,35653588.000000,5598.870414,360946.000000,558352.000000,367464.752577,35644081.000000,32645.389740,0.036498,0.049473,0.042985,0.085971,0.009175,5.108800,5.138470,5.123635,10.247270,0.020980,2.011838,2.026055,2.018946,4.037893,0.010053,0.121051,0.121051,0.121051,0.121051,NaN,2.895033,2.895033,2.895033,2.895033,NaN,13.471779,13.471779,13.471779,13.471779,NaN
128,2,3600,100,7,40,2,3600,32,0.005563,0.005563,0.005563,0.005563,NaN,0.023493,0.023493,0.023493,0.023493,NaN,2.817519,2.817519,2.817519,2.817519,NaN,634150.000000,634150.000000,634150.000000,634150.000000,NaN,916320.000000,916320.000000,916320.000000,916320.000000,NaN,599373.000000,692119.000000,628823.718750,60367077.000000,26635.016991,594816.000000,979885.000000,627226.531250,60213747.000000,53484.598445,0.020443,0.053321,0.036882,0.073764,0.023248,4.545145,4.821367,4.683256,9.366512,0.195318,3.320067,3.430696,3.375381,6.750763,0.078227,0.095979,0.095979,0.095979,0.095979,NaN,3.771076,3.771076,3.771076,3.771076,NaN,18.755571,18.755571,18.755571,18.755571,NaN
256,2,3600,100,8,16,2,3600,32,0.031446,0.031446,0.031446,0.031446,NaN,0.035344,0.035344,0.035344,0.035344,NaN,3.438021,3.438021,3.438021,3.438021,NaN,138558.000000,138558.000000,138558.000000,138558.000000,NaN,203101.000000,203101.000000,203101.000000,203101.000000,NaN,108636.000000,154938.000000,111897.684444,25176979.000000,8610.989755,106322.000000,218028.000000,111921.106667,25182249.000000,18795.039394,0.015133,0.039033,0.027083,0.054166,0.016900,3.183107,3.219973,3.201540,6.403080,0.026068,2.106002,2.106852,2.106427,4.212855,0.000601,0.067358,0.067358,0.067358,0.067358,NaN,2.152187,2.152187,2.152187,2.152187,NaN,9.799032,9.799032,9.799032,9.799032,NaN
256,2,3600,100,8,24,2,3600,32,0.012520,0.012520,0.012520,0.012520,NaN,0.048640,0.048640,0.048640,0.048640,NaN,3.218004,3.218004,3.218004,3.218004,NaN,269430.000000,269430.000000,269430.000000,269430.000000,NaN,389216.000000,389216.000000,389216.000000,389216.000000,NaN,233236.000000,385494.000000,252767.853333,56872767.000000,38402.370474,231382.000000,512848.000000,252490.053333,56810262.000000,45825.881406,0.055560,0.085238,0.070399,0.140798,0.020986,3.466918,3.677597,3.572258,7.144515,0.148973,2.986103,3.021282,3.003693,6.007386,0.024876,0.093600,0.093600,0.093600,0.093600,NaN,3.207497,3.207497,3.207497,3.207497,NaN,16.495671,16.495671,16.495671,16.495671,NaN
256,2,3600,100,8,32,2,3600,32,0.010334,0.010334,0.010334,0.010334,NaN,0.052584,0.052584,0.052584,0.052584,NaN,3.217359,3.217359,3.217359,3.217359,NaN,403574.000000,403574.000000,403574.000000,403574.000000,NaN,584069.000000,584069.000000,584069.000000,584069.000000,NaN,365674.000000,418850.000000,368164.186667,82836942.000000,7788.794820,360946.000000,598848.000000,368269.484444,82860634.000000,35290.004556,0.051902,0.125729,0.088815,0.177631,0.052204,10.406333,11.177167,10.791750,21.583500,0.545062,2.073756,2.178404,2.126080,4.252160,0.073997,0.257371,0.257371,0.257371,0.257371,NaN,6.009612,6.009612,6.009612,6.009612,NaN,13.671604,13.671604,13.671604,13.671604,NaN
256,2,3600,100,8,40,2,3600,32,0.006119,0.006119,0.006119,0.006119,NaN,0.058354,0.058354,0.058354,0.058354,NaN,3.218300,3.218300,3.218300,3.218300,NaN,644209.000000,644209.000000,644209.000000,644209.000000,NaN,937156.000000,937156.000000,937156.000000,937156.000000,NaN,597908.000000,760049.000000,627781.851351,139367571.000000,44726.415135,594779.000000,1064937.000000,627330.292793,139267325.000000,66826.981710,0.046386,0.091485,0.068935,0.137871,0.031890,8.333598,8.374606,8.354102,16.708204,0.028997,4.549206,4.716513,4.632860,9.265719,0.118304,0.170197,0.170197,0.170197,0.170197,NaN,7.271867,7.271867,7.271867,7.271867,NaN,21.092446,21.092446,21.092446,21.092446,NaN
512,2,3600,100,9,16,2,3600,32,0.032049,0.032049,0.032049,0.032049,NaN,0.133788,0.133788,0.133788,0.133788,NaN,3.821205,3.821205,3.821205,3.821205,NaN,159048.000000,159048.000000,159048.000000,159048.000000,NaN,247885.000000,247885.000000,247885.000000,247885.000000,NaN,108801.000000,187574.000000,113673.506250,54563283.000000,14333.626193,106400.000000,273057.000000,113756.702083,54603217.000000,26497.456357,0.082820,0.146130,0.114475,0.228950,0.044767,6.595989,7.215689,6.905839,13.811678,0.438194,2.485252,2.572837,2.529045,5.058089,0.061932,0.230754,0.230754,0.230754,0.230754,NaN,4.447146,4.447146,4.447146,4.447146,NaN,11.862763,11.862763,11.862763,11.862763,NaN
512,2,3600,100,9,24,2,3600,32,0.045525,0.045525,0.045525,0.045525,NaN,0.102982,0.102982,0.102982,0.102982,NaN,4.040569,4.040569,4.040569,4.040569,NaN,272865.000000,272865.000000,272865.000000,272865.000000,NaN,408033.000000,408033.000000,408033.000000,408033.000000,NaN,218444.000000,428086.000000,232372.056250,111538587.000000,38254.829734,215090.000000,543462.000000,232312.460417,111509981.000000,47357.464446,0.055262,0.135732,0.095497,0.190994,0.056901,8.692019,8.925734,8.808877,17.617753,0.165261,3.425682,3.566707,3.496195,6.992389,0.099720,0.224932,0.224932,0.224932,0.224932,NaN,6.622007,6.622007,6.622007,6.622007,NaN,19.280957,19.280957,19.280957,19.280957,NaN
