hosts,bf,closewait,delay,depth,groupsize,rounds,runwait,servers,ChildrenWait_system_min,ChildrenWait_system_max,ChildrenWait_system_avg,ChildrenWait_system_sum,ChildrenWait_system_dev,ChildrenWait_user_min,ChildrenWait_user_max,ChildrenWait_user_avg,ChildrenWait_user_sum,ChildrenWait_user_dev,ChildrenWait_wall_min,ChildrenWait_wall_max,ChildrenWait_wall_avg,ChildrenWait_wall_sum,ChildrenWait_wall_dev,bandwidth_root_rx_min,bandwidth_root_rx_max,bandwidth_root_rx_avg,bandwidth_root_rx_sum,bandwidth_root_rx_dev,bandwidth_root_tx_min,bandwidth_root_tx_max,bandwidth_root_tx_avg,bandwidth_root_tx_sum,bandwidth_root_tx_dev,bandwidth_rx_min,bandwidth_rx_max,bandwidth_rx_avg,bandwidth_rx_sum,bandwidth_rx_dev,bandwidth_tx_min,bandwidth_tx_max,bandwidth_tx_avg,bandwidth_tx_sum,bandwidth_tx_dev,round_system_min,round_system_max,round_system_avg,round_system_sum,round_system_dev,round_user_min,round_user_max,round_user_avg,round_user_sum,round_user_dev,round_wall_min,round_wall_max,round_wall_avg,round_wall_sum,round_wall_dev,setup_system_min,setup_system_max,setup_system_avg,setup_system_sum,setup_system_dev,setup_user_min,setup_user_max,setup_user_avg,setup_user_sum,setup_user_dev,setup_wall_min,setup_wall_max,setup_wall_avg,setup_wall_sum,setup_wall_dev
128,2,3600,100,7,16,1,3600,4,0.036814,0.036814,0.036814,0.036814,NaN,0.166961,0.166961,0.166961,0.166961,NaN,2.813014,2.813014,2.813014,2.813014,NaN,86544.000000,86544.000000,86544.000000,86544.000000,NaN,133789.000000,133789.000000,133789.000000,133789.000000,NaN,72845.000000,98551.000000,77287.580645,9583660.000000,4416.037747,71033.000000,150331.000000,77031.161290,9551864.000000,13873.969483,0.145295,0.145295,0.145295,0.145295,NaN,5.946060,5.946060,5.946060,5.946060,NaN,1.782935,1.782935,1.782935,1.782935,NaN,0.326465,0.326465,0.326465,0.326465,NaN,5.804313,5.804313,5.804313,5.804313,NaN,5.121002,5.121002,5.121002,5.121002,NaN
128,2,3600,100,7,48,1,3600,4,0.055833,0.055833,0.055833,0.055833,NaN,0.140848,0.140848,0.140848,0.140848,NaN,2.622282,2.622282,2.622282,2.622282,NaN,903331.000000,903331.000000,903331.000000,903331.000000,NaN,1329938.000000,1329938.000000,1329938.000000,1329938.000000,NaN,882883.000000,920132.000000,893691.320000,111711415.000000,5902.070056,874797.000000,1527429.000000,889217.144000,111152143.000000,66965.886602,0.806855,0.806855,0.806855,0.806855,NaN,63.743774,63.743774,63.743774,63.743774,NaN,5.649379,5.649379,5.649379,5.649379,NaN,1.015727,1.015727,1.015727,1.015727,NaN,47.692165,47.692165,47.692165,47.692165,NaN,20.015807,20.015807,20.015807,20.015807,NaN
256,2,3600,100,8,16,1,3600,4,0.123531,0.123531,0.123531,0.123531,NaN,0.368647,0.368647,0.368647,0.368647,NaN,3.221908,3.221908,3.221908,3.221908,NaN,96696.000000,96696.000000,96696.000000,96696.000000,NaN,155991.000000,155991.000000,155991.000000,155991.000000,NaN,73027.000000,119400.000000,78363.126984,19747508.000000,7451.974936,71067.000000,181697.000000,78333.980159,19740163.000000,17802.172379,0.367973,0.367973,0.367973,0.367973,NaN,12.762816,12.762816,12.762816,12.762816,NaN,1.798842,1.798842,1.798842,1.798842,NaN,0.388708,0.388708,0.388708,0.388708,NaN,11.310660,11.310660,11.310660,11.310660,NaN,5.271768,5.271768,5.271768,5.271768,NaN
256,2,3600,100,8,48,1,3600,4,0.079404,0.079404,0.079404,0.079404,NaN,0.400816,0.400816,0.400816,0.400816,NaN,3.223567,3.223567,3.223567,3.223567,NaN,605425.000000,605425.000000,605425.000000,605425.000000,NaN,905606.000000,905606.000000,905606.000000,905606.000000,NaN,574899.000000,632018.000000,590023.960317,148686038.000000,10680.714131,570077.000000,1016732.000000,588350.297619,148264275.000000,59428.992626,1.043409,1.043409,1.043409,1.043409,NaN,109.546949,109.546949,109.546949,109.546949,NaN,6.556911,6.556911,6.556911,6.556911,NaN,1.631323,1.631323,1.631323,1.631323,NaN,64.180253,64.180253,64.180253,64.180253,NaN,18.830159,18.830159,18.830159,18.830159,NaN
512,2,3600,100,9,16,1,3600,4,0.223400,0.223400,0.223400,0.223400,NaN,0.981884,0.981884,0.981884,0.981884,NaN,3.821166,3.821166,3.821166,3.821166,NaN,116923.000000,116923.000000,116923.000000,116923.000000,NaN,193945.000000,193945.000000,193945.000000,193945.000000,NaN,72663.000000,160702.000000,80229.149312,40836637.000000,13119.854797,71124.000000,241986.000000,80333.308448,40889654.000000,25070.891800,0.543134,0.543134,0.543134,0.543134,NaN,31.100561,31.100561,31.100561,31.100561,NaN,2.068074,2.068074,2.068074,2.068074,NaN,1.047064,1.047064,1.047064,1.047064,NaN,23.477091,23.477091,23.477091,23.477091,NaN,5.963338,5.963338,5.963338,5.963338,NaN
512,2,3600,100,9,48,1,3600,4,0.216087,0.216087,0.216087,0.216087,NaN,0.974032,0.974032,0.974032,0.974032,NaN,3.823376,3.823376,3.823376,3.823376,NaN,625323.000000,625323.000000,625323.000000,625323.000000,NaN,946586.000000,946586.000000,946586.000000,946586.000000,NaN,574990.000000,674793.000000,591399.894602,230054559.000000,16740.877760,569838.000000,1063291.000000,590973.856041,229888830.000000,66788.834386,2.362750,2.362750,2.362750,2.362750,NaN,221.987749,221.987749,221.987749,221.987749,NaN,9.852033,9.852033,9.852033,9.852033,NaN,3.233104,3.233104,3.233104,3.233104,NaN,140.942065,140.942065,140.942065,140.942065,NaN,21.155083,21.155083,21.155083,21.155083,NaN
768,2,3600,100,9,16,1,3600,4,0.330241,0.330241,0.330241,0.330241,NaN,1.445266,1.445266,1.445266,1.445266,NaN,4.420424,4.420424,4.420424,4.420424,NaN,137387.000000,137387.000000,137387.000000,137387.000000,NaN,230694.000000,230694.000000,230694.000000,230694.000000,NaN,72936.000000,192769.000000,81743.432680,62533726.000000,18735.085222,71090.000000,296260.000000,81886.898039,62643477.000000,31449.715443,0.884188,0.884188,0.884188,0.884188,NaN,49.733251,49.733251,49.733251,49.733251,NaN,3.104099,3.104099,3.104099,3.104099,NaN,1.962031,1.962031,1.962031,1.962031,NaN,35.820299,35.820299,35.820299,35.820299,NaN,6.426238,6.426238,6.426238,6.426238,NaN
768,2,3600,100,9,48,1,3600,4,0.268545,0.268545,0.268545,0.268545,NaN,1.521954,1.521954,1.521954,1.521954,NaN,4.242503,4.242503,4.242503,4.242503,NaN,583441.000000,583441.000000,583441.000000,583441.000000,NaN,854980.000000,854980.000000,854980.000000,854980.000000,NaN,514427.000000,619411.000000,523616.142857,348204735.000000,11324.153501,507840.000000,1004362.000000,522639.358434,347032534.000000,57491.130077,3.427959,3.427959,3.427959,3.427959,NaN,313.107283,313.107283,313.107283,313.107283,NaN,11.718461,11.718461,11.718461,11.718461,NaN,4.795641,4.795641,4.795641,4.795641,NaN,219.296999,219.296999,219.296999,219.296999,NaN,22.559349,22.559349,22.559349,22.559349,NaN
1024,2,3600,100,10,16,1,3600,4,0.395839,0.395839,0.395839,0.395839,NaN,1.798818,1.798818,1.798818,1.798818,NaN,4.428659,4.428659,4.428659,4.428659,NaN,157714.000000,157714.000000,157714.000000,157714.000000,NaN,272325.000000,272325.000000,272325.000000,272325.000000,NaN,72845.000000,209449.000000,81747.695337,78886526.000000,20884.006539,70828.000000,335131.000000,81071.038342,78233552.000000,34005.494953,1.033671,1.033671,1.033671,1.033671,NaN,67.635272,67.635272,67.635272,67.635272,NaN,3.816560,3.816560,3.816560,3.816560,NaN,2.322255,2.322255,2.322255,2.322255,NaN,53.755125,53.755125,53.755125,53.755125,NaN,9.128951,9.128951,9.128951,9.128951,NaN
1024,2,3600,100,10,48,1,3600,4,0.390403,0.390403,0.390403,0.390403,NaN,1.853965,1.853965,1.853965,1.853965,NaN,4.430412,4.430412,4.430412,4.430412,NaN,604045.000000,604045.000000,604045.000000,604045.000000,NaN,844134.000000,844134.000000,844134.000000,844134.000000,NaN,514245.000000,982442.000000,550197.152941,561201096.000000,91709.838407,506565.000000,1465788.000000,550068.178431,561069542.000000,110349.045567,4.625497,4.625497,4.625497,4.625497,NaN,429.790027,429.790027,429.790027,429.790027,NaN,17.059646,17.059646,17.059646,17.059646,NaN,6.395045,6.395045,6.395045,6.395045,NaN,354.573681,354.573681,354.573681,354.573681,NaN,29.670288,29.670288,29.670288,29.670288,NaN
